"maladie","categorie","n","pct"
"Faiblesse/Fatigue","Autre",518,25.0847457627119
"Paludisme","Infectieuse",514,24.8910411622276
"Rhinite/Catarrhe","Infectieuse",244,11.81598062954
"Céphalée","Autre",195,9.44309927360775
"Toux","Infectieuse",182,8.8135593220339
"Rhume commun","Infectieuse",71,3.43825665859564
"Douleurs articulaires","Chronique",70,3.38983050847458
"Blessure/Traumatisme","Traumatique",58,2.80871670702179
"Autre","Autre",36,1.74334140435835
"Fièvre non spécifiée","Infectieuse",27,1.30750605326877
