"Variable","N_manquants","Pct"
"sante_s4aq3",4385,16.5
"sante_s4aq1",0,0
"sante_s4aq6a",20106,75.7
"sante_s4aq9",21018,79.1
"sante_s4aq14",18632,70.2
"sante_s4aq15",0,0
