"relation","n","prop","ic_low","ic_high","prop_label"
"Enfant",14636,0.551116466468351,0.545110308606736,0.557111436648003,"55.1%"
"Chef",4980,0.187521180856271,0.182842225696199,0.192268604875336,"18.8%"
"Conjoint",4273,0.160899197951576,0.156498456105692,0.165374266333512,"16.1%"
"Autre",2668,0.100463154723802,0.0968726533358166,0.104141338320808,"10%"
