"zone","n_menages","moyenne","mediane","ecart_type","Q1","Q3","min","max"
"Rural",3385,6.3864106351551,6,3.7534292787052,4,8,1,33
"Urbain",1595,5.46645768025078,5,3.26043883686951,3,7,1,27
