"household_id","n_parcelles","n_parcelles_valides","superficie_totale_ha"
19144,2,1,0.10626
19151,1,0,NA
19153,1,1,0.025498
19158,6,1,0.054796997
19159,6,1,0.2404
19160,3,2,0.39699
19161,4,2,0.111492999
19163,3,2,0.31591
19164,5,2,0.53984001
19165,3,1,0.051809998
19166,5,3,0.391417002
19167,3,2,0.118297999
19168,4,4,1.100777979
19169,6,2,0.80316001
19170,3,1,0.65336001
19173,3,2,0.4250370097
19174,4,3,0.329602001
19175,2,1,0.32132
19177,2,1,0.64211001
19178,4,1,0.040973999
19179,3,2,1.51958003
19180,2,2,0.24008
19181,3,1,0.32133
19182,5,4,0.242896002
19183,1,1,0.088231
19184,4,1,0.096260999
19185,7,4,0.479375987
19186,4,3,0.562716997
19187,4,2,0.28218
19188,3,2,1.05039999
19191,3,1,0.23906001
19192,4,1,0.22123999
19193,2,2,1.75389004
19194,2,2,0.196808001
19195,2,1,0.023595
19197,1,0,NA
19202,2,0,NA
19204,1,0,NA
19205,2,1,0.092419
19206,3,2,0.25828
19207,3,2,1.10446997
19208,2,1,0.41548999
19209,2,1,0.48853999
19211,3,2,1.23987998
19213,3,2,1.12528
19214,3,2,0.231368
19215,2,1,0.34023999
19230,3,2,0.094785998
19231,4,3,0.410857
19232,3,2,0.204688
19235,4,3,0.129708998
19236,4,3,0.082890001
19238,3,2,0.033839
19239,3,3,0.200782002
19250,3,2,0.105198001
19254,1,1,0.068858
19266,1,1,0.075044
19269,2,2,0.57229001
19277,1,0,NA
19278,1,0,NA
19279,1,0,NA
19280,4,3,0.168422002
19284,1,0,NA
20001,3,2,1.6613
20002,3,2,3.0166
20003,2,2,0.77661001
20005,4,3,1.41777
20006,3,2,0.76744
20007,3,2,0.73567
20008,4,3,1.05919
20009,4,3,0.78761
20010,3,1,1.4235
20041,3,2,0.87482002
20042,3,2,0.6941
20043,2,1,0.80165
20044,3,2,0.25254
20045,3,2,0.89406
20046,5,3,0.545238
20047,3,2,1.75017
20048,3,2,0.99387
20049,3,2,1.70429
20050,2,1,0.4569
20061,3,2,0.54391999
20062,4,3,0.91313
20063,4,3,2.01562999
20064,6,5,1.45006
20065,2,2,1.21029002
20066,3,2,1.73768999
20068,4,3,1.29448004
20069,4,3,1.38986803
20070,3,2,0.36208
20091,4,3,4.90793
20092,4,3,1.40984
20093,3,2,1.14609
20094,3,0,NA
20095,3,2,1.37972
20096,3,2,2.64431
20097,3,2,1.36073996
20098,6,5,4.58794
20099,3,2,0.44168
20100,4,2,0.62683
20101,4,3,1.63962
20102,7,5,1.95282998
20103,5,4,0.546264
20104,5,3,0.38452
20106,8,3,2.49816
20107,4,1,0.16726
20108,3,2,0.473098
20110,3,2,0.87048
29001,3,2,1.0007
29002,2,1,2.9852
29003,3,2,0.94879
29004,3,2,2.7164
29005,2,1,0.38059
29006,4,3,3.43702
29007,3,2,0.47498
29008,3,2,3.03969
29009,2,1,0.56239
29010,2,1,4.2009
29013,3,2,0.68486
29014,3,2,1.43528
29018,3,2,0.85258
29019,3,2,0.58618
29020,4,3,0.86166
29021,5,4,5.34268
29022,5,4,2.36621
29023,4,3,9.6573
29024,3,2,2.90862
29025,4,3,1.3558
29026,2,2,2.48897998
29028,2,2,1.07749002
29029,4,3,0.75614001
29031,3,2,1.64995996
29032,5,4,5.86501001
29033,4,3,2.05317299
29034,4,3,5.72078999
29035,3,2,1.54896997
29036,3,2,1.14040998
29037,2,1,1.1504
29038,2,1,0.91614
29039,3,2,1.42635
29041,3,2,2.5902
29042,2,1,1.0661
29044,3,2,1.70067
29045,3,2,2.1655
29046,4,3,0.851383
29047,5,4,8.5958
29048,4,3,2.459
29050,4,3,3.3519
29051,3,2,0.55216
29052,3,2,1.74706
29053,3,2,1.97202
29054,3,2,0.62543
29055,3,2,1.08542
29056,3,2,0.87588
29057,3,2,1.57938
29058,3,2,6.8185
29060,4,3,5.2536
29061,3,2,0.49755001
29062,3,2,1.01663999
29063,4,3,0.92509002
29064,5,3,1.06760997
29065,3,2,0.58846998
29066,4,2,0.98552
29068,5,4,1.242785029
29070,5,4,1.98351001
29071,6,4,1.258555999
29072,3,1,1.0393
29073,4,3,1.08008003
29074,4,3,3.22677998
29076,2,2,1.54517
29077,2,1,1.5506
29078,3,2,0.96218998
29079,3,2,0.57273001
29080,4,3,1.96408998
29082,3,2,4.1033
29083,5,4,4.12823999
29084,2,1,0.21857
29085,3,2,13.3196
29086,4,3,5.7161
29087,5,4,3.15343999
29089,2,1,1.2654
29090,3,2,3.3365
29091,3,1,1.1515
29092,2,1,0.49476001
29094,4,3,1.66956997
29095,2,1,1.9273
29096,2,1,4.1911
29097,2,1,0.43316001
29099,4,3,2.99912002
29100,3,2,1.14874002
29101,3,2,5.39865
29102,3,1,2.8751
29103,3,2,1.63688999
29104,3,2,3.70682002
29105,3,2,1.22290005
29107,2,1,0.52182002
29108,3,2,1.0041
29109,3,2,7.7749
29110,2,1,0.1057
29111,3,2,0.6942
29112,3,2,0.62692
29113,3,2,0.256199001
29115,3,2,1.57016
29116,4,3,3.18828
29118,3,2,1.85113
29119,3,2,1.9068
29120,3,2,1.4445
29121,3,2,1.76754
29122,3,2,0.8963
29123,3,2,1.55233
29124,4,3,3.38502
29126,2,1,0.33252
29127,2,1,1.1893
29128,3,2,0.72621
29130,3,2,1.85533
29131,4,3,4.2058
29132,5,4,5.0591
29133,2,1,0.41633999
29134,2,1,0.028835001
29135,2,1,0.21326
29138,2,2,0.94318002
29139,1,1,0.1111
29140,2,1,1.0014
29142,2,1,1.6958
29143,3,2,1.44281001
29144,2,1,0.069843
29147,3,2,0.47037
29148,3,2,0.66020999
29149,4,3,0.55271
29150,5,4,1.2523
29151,3,2,0.57007
29152,4,4,0.87063001
29153,3,2,0.6757
29154,6,4,1.03994002
29155,3,2,2.04972998
29156,4,3,0.52399999
29158,3,1,0.36112
29160,7,5,1.69906
29161,4,3,0.548005999
29162,6,4,0.80878
29163,2,2,0.66145
29164,2,2,0.41756
