"zone.x","state.x","lga.x","sector.x","ea.x","hhid","indiv","s1q4a","s1q2","s1q3","s1q3_os","s1q4","s1q5a","s1q5b","s1q6_day","s1q6_month","s1q6_year","s1q8a","s1q8b","s1q8c","s1q7","s1q11","s1q12_1","s1q12_2","s1q12_3","s1q12_4","s1q13a_1","s1q13a_2","s1q13a_3","s1q13a_4","s1q13b","s1q13c","s1q13","s1q15","s1q16","s1q16_os","s1q17","s1q17_os","s1q18","s1q19","s1q20","s1q21","s1q22","s1q22_oth","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27_os","s1q28","s1q28_os","s1q29","s1q30","s1q31d","s1q31","s1q31b","s1q32","s1q33","zone.y","state.y","lga.y","sector.y","ea.y","s2aq2","s2aq3","s2aq4","s2aq5","s2aq6","s2aq7","s2aq7b","s2aq8","s2aq9","s2aq10","s2aq10b","s2aq13a","s2aq13b","s2aq13c","s2aq13","s2aq14","s2aq14b","s2aq15","s2aq16","s2aq17","s2aq17b","s2aq18","s2aq19","s2aq20","s2aq21","s2aq22","s2aq22b","s2aq23","s2aq23bt","s2aq23aa","s2aq23ab","s2aq23ac","s2aq23ad","s2aq23ae","s2aq23bg","s2aq23bh","s2aq23bi","s2aq23bj","s2aq23bf","s2aq23bk","s2aq23bl","s2aq23bm","s2aq23bn","s2aq23bo","s2aq23bp","s2aq23bq","s2aq23br","s2aq23bs","s2aq24","s2aq25","s2aq26","s2aq26b","s2aq27","niveau_educ","groupe_age","niveau_educ_num"
4,1,115,1,670,10004,2,1,2,2,"",60,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,2009,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,1,NA,1,1,NA,"",6,43,9,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","46-60",5
4,1,115,1,670,10004,3,1,1,3,"",19,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,2,1,1,NA,"",4,411,6,"",1,411,1,1,NA,"",411,1,2,"",2,2,NA,NA,NA,"",1,NA,700,0,0,500,800,45000,30000,0,0,0,0,0,0,4000,4000,0,5000,0,0,4,NA,NA,"",NA,"Senior Secondary","18-30",4
4,1,115,1,670,10005,1,1,1,1,"",51,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,2000,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,1,NA,1,1,NA,"",4,422,9,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","46-60",5
4,1,115,1,670,10005,2,1,2,2,"",47,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,2000,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,1,1,1,NA,"",5,422,9,"",2,NA,NA,2,5,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","46-60",5
4,1,115,1,670,10008,1,1,1,1,"",65,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,1989,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,4,1,1,NA,"",5,423,9,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","60+",5
4,1,115,1,670,10008,2,1,2,2,"",53,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,1989,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,4,1,1,NA,"",4,423,9,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","46-60",5
4,1,115,1,670,10008,4,1,2,3,"",23,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,1,NA,1,1,NA,"",2,422,7,"",1,423,1,1,NA,"",422,1,3,"",2,2,NA,NA,NA,"",1,NA,0,0,200,5800,0,35000,2000,0,0,0,0,0,1500,0,20000,0,47000,0,0,4,NA,NA,"",NA,"Tertiaire","18-30",5
4,1,115,1,670,10008,5,1,2,3,"",21,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,4,1,1,NA,"",2,423,9,"",2,NA,NA,2,2,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","18-30",5
4,1,115,1,670,10008,6,1,1,3,"",19,NA,NA,NA,NA,NA,11,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,4,1,1,NA,"",2,412,42,"",1,421,2,1,NA,"",421,2,2,"",1,2,NA,NA,NA,"",1,NA,0,0,0,10000,0,55000,1700,0,2000,0,0,0,1500,0,18000,0,15000,0,0,4,NA,NA,"",NA,"Tertiaire","18-30",5
4,1,105,2,0,10009,1,1,1,1,"",44,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,2007,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,105,2,0,1,2,2,1,1,NA,"",6,43,11,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","31-45",5
4,1,105,2,0,10009,2,1,2,2,"",33,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,2007,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,105,2,0,1,1,NA,1,1,NA,"",5,43,11,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","31-45",5
4,1,115,1,670,10010,1,1,1,1,"",67,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,1982,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,1,NA,1,1,NA,"",6,43,11,"",1,43,1,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","60+",5
4,1,115,1,670,10010,2,1,2,2,"",62,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,1982,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,1,1,1,NA,"",5,43,12,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","60+",5
4,1,115,1,670,10010,3,1,1,3,"",24,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,1,1,1,NA,"",3,423,9,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","18-30",5
4,1,115,1,670,10010,4,1,2,7,"",23,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,115,1,670,1,2,1,1,1,NA,"",5,421,6,"",1,423,6,1,NA,"",423,1,8,"",2,2,NA,NA,NA,"",1,NA,0,0,6000,2000,0,190000,3000,0,0,0,0,0,0,0,24000,0,0,0,0,4,NA,NA,"",NA,"Senior Secondary","18-30",4
4,1,111,1,1146,10031,1,1,1,1,"",48,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,2002,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,1,NA,1,1,NA,"",6,43,9,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","46-60",5
4,1,111,1,1146,10031,2,1,2,2,"",38,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,2002,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,1,1,1,NA,"",6,34,8,"",2,NA,NA,2,5,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","31-45",5
4,1,111,1,1146,10032,1,1,1,1,"",53,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,2006,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,1,NA,1,1,NA,"",6,26,6,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Senior Secondary","46-60",4
4,1,111,1,1146,10032,2,1,2,2,"",38,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,2006,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,1,NA,1,1,NA,"",5,411,8,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","31-45",5
4,1,111,1,1146,10033,1,1,1,1,"",56,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,1992,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,2,1,1,NA,"",5,26,6,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Senior Secondary","46-60",4
4,1,111,1,1146,10033,2,1,2,2,"",53,NA,NA,NA,NA,NA,12,1,1,1,1,1,NA,NA,NA,1992,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,1,NA,1,1,NA,"",4,26,6,"",2,NA,NA,2,12,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Senior Secondary","46-60",4
4,1,111,1,1146,10034,2,1,2,1,"",55,NA,NA,NA,NA,NA,12,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,8,1,1,NA,"",4,26,6,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Senior Secondary","46-60",4
4,1,111,1,1146,10034,5,1,2,3,"",28,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,8,1,1,NA,"",2,411,8,"",1,412,1,1,NA,"",411,1,3,"",2,2,NA,NA,NA,"",1,NA,0,0,3000,2500,0,105000,5000,0,0,0,0,0,0,0,20000,0,0,0,0,4,NA,NA,"",NA,"Tertiaire","18-30",5
4,1,111,1,1146,10034,7,1,1,3,"",25,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,8,1,1,NA,"",3,422,9,"",2,NA,NA,1,NA,"",422,2,3,"",2,2,NA,NA,NA,"",1,NA,0,0,3000,3000,0,90000,5000,0,0,0,0,0,0,0,25000,0,0,0,0,4,NA,NA,"",NA,"Tertiaire","18-30",5
4,1,111,1,1146,10034,8,1,2,3,"",24,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,1,NA,1,1,NA,"",3,412,9,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Tertiaire","18-30",5
4,1,111,1,1146,10034,9,1,1,3,"",22,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,8,1,1,NA,"",3,422,6,"",1,422,2,1,NA,"",422,2,3,"",2,2,NA,NA,NA,"",1,NA,0,0,4000,3000,0,90000,6000,0,0,0,0,0,0,0,18500,0,0,0,0,4,NA,NA,"",NA,"Senior Secondary","18-30",4
4,1,111,1,1146,10034,10,1,2,3,"",20,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,8,1,1,NA,"",3,26,6,"",1,421,2,1,NA,"",421,2,3,"",2,2,NA,NA,NA,"",1,NA,0,0,4000,2000,0,240000,5000,2000,0,0,0,0,0,0,0,0,0,0,3000,4,NA,NA,"",NA,"Senior Secondary","18-30",4
4,1,111,1,1146,10034,11,1,2,3,"",18,NA,NA,NA,NA,NA,12,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,8,1,1,NA,"",3,26,6,"",1,411,2,1,NA,"",411,2,3,"",2,2,NA,NA,NA,"",1,NA,0,0,2500,1200,0,75000,1500,1500,0,0,0,0,0,0,18000,0,0,0,0,4,NA,NA,"",NA,"Senior Secondary","18-30",4
4,1,111,1,1146,10035,1,1,1,1,"",66,NA,NA,NA,NA,NA,12,1,1,1,1,2,NA,NA,NA,1983,NA,NA,NA,2,NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,4,1,111,1,1146,1,2,2,1,1,NA,"",6,26,6,"",2,NA,NA,2,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"",NA,"Senior Secondary","60+",4
