"","Q1 (pauvre)","Q2","Q3","Q4","Q5 (riche)","Total"
"Non",6989,5171,4184,3285,2183,21812
"Oui",961,1062,973,951,774,4721
"Total",7950,6233,5157,4236,2957,26533
