"variable","n_missing","pct"
"superficie_declaree",11048,91.2
"superficie_parcelle",1153,9.52
"superficie_ha",1153,9.52
"superficie_ha_propre",1158,9.56
"superficie_gps_ha",5287,43.64
"poids_menage",49,0.4
