"decile","n_eff","min_ha","mean_ha","median_ha","max_ha"
"D1",2142207,0,0.0062,0.005,0.0122
"D2",2138178,0.0123,0.0263,0.025,0.0405
"D3",2139276,0.0407,0.0578,0.057,0.0798
"D4",2164031,0.08,0.1178,0.114,0.171
"D5",2123413,0.1725,0.2311,0.2124,0.32
"D6",2851822,0.3211,0.3966,0.4047,0.4047
"D7",1418904,0.405,0.5261,0.5,0.6175
"D8",2376874,0.6195,0.8071,0.8094,0.988
"D9",1960920,1,1.1505,1.2141,1.482
"D10",2080464,1.495,3.2433,2,480
