"identifiant_menage","nb_parcelles","nb_parcelles_valides","superficie_totale_ha","poids_menage","etat","region","zone_residence","log1p_tot_ha"
10096,3,3,0.182018,1866.33715820312,"Abia","South East","Rural",0.167223147294351
10097,4,4,0.632686,1866.33715820312,"Abia","South East","Rural",0.490226511359742
10098,1,1,0.404686,1866.33715820312,"Abia","South East","Rural",0.339813790264162
10099,1,1,0.404686,1866.33715820312,"Abia","South East","Rural",0.339813790264162
10100,4,4,1.618744,1866.33715820312,"Abia","South East","Rural",0.962694813516235
10102,3,3,1.615,5453.29833984375,"Abia","South East","Rural",0.961264097516886
10103,3,3,0.220769,5453.29833984375,"Abia","South East","Rural",0.199480988040846
10104,2,2,0.093772,5453.29833984375,"Abia","South East","Rural",0.0896322727731119
10105,3,3,0.179832,5453.29833984375,"Abia","South East","Rural",0.165372055460237
10106,4,4,0.299448,5453.29833984375,"Abia","South East","Rural",0.261939558908236
10107,2,2,0.404686,5453.29833984375,"Abia","South East","Rural",0.339813790264162
10108,2,2,0.607029,5453.29833984375,"Abia","South East","Rural",0.474387132641085
10109,3,3,1.214058,5453.29833984375,"Abia","South East","Rural",0.794827030871948
10110,3,3,0.809372,5453.29833984375,"Abia","South East","Rural",0.59297982374676
19001,1,0,NA,3688.921875,"Abia","South East","Urbain",NA
19002,1,0,NA,3688.921875,"Abia","South East","Urbain",NA
19005,1,0,NA,3688.921875,"Abia","South East","Urbain",NA
19006,1,0,NA,3688.921875,"Abia","South East","Urbain",NA
