"variable","n_obs","n_miss","n_eff","mean","sd","min","p10","p25","median","p75","p90","max","cv"
"sup_parcelle_ha",10955,0,3737,0.6421,3.0533,0,0.0122,0.057,0.32,0.8094,1.482,480,4.7552
"sup_totale_menage_ha",3869,0,1930,1.7561,7.0912,0,0.065,0.2873,0.8788,2.0234,3.7022,480.649,4.038
