"tenure","n","prop","label"
"Heritage familial",6906,63.0052002554511,"63%"
"Propriete pleine (achat direct)",1269,11.5774108201806,"11.6%"
"Location (especes/nature)",1218,11.1121248061308,"11.1%"
"Usage gratuit",1002,9.14150168780221,"9.1%"
"Distribution par la communaute",455,4.15108110573853,"4.2%"
"Metayage",68,0.620381352066417,"0.6%"
"Echange temporaire de terres",43,0.392299972630234,"0.4%"
