"engrais_label","n","n_pondere","mediane","moyenne_ponderee","q25","q75"
"Avec engrais chimique",1345,7474893.68328857,870.132695236024,1327.47812335391,375.516334960571,1763.37572350269
"Sans engrais chimique",1593,7829570.68954468,527.086383601757,873.949618766483,234.914109528704,1138.56313332574
