"zone_ru","n_menages","area_type","total","type_engrais","taux","ic_lo","ic_hi"
"Rural",5913417.35870361,"rural",16027342.6665039,"NPK",0.36895806633387,0.368721867825786,0.369194327658615
"Urbain",671305.200744629,"urban",2822372.76831055,"NPK",0.237851359778555,0.237354994599787,0.238348438563865
"Rural",4046517.53170776,"rural",16027342.6665039,"Urée",0.252475885485666,0.252263258348938,0.252688631276307
"Urbain",454515.454284668,"urban",2822372.76831055,"Urée",0.161040192630805,0.160611830478264,0.161469477481002
"Rural",2974405.43334961,"rural",16027342.6665039,"Organique",0.185583193374028,0.185392937528876,0.185773599938979
"Urbain",341951.896026611,"urban",2822372.76831055,"Organique",0.121157594725271,0.12077742004001,0.121538800674393
"Rural",7180958.48410034,"rural",16027342.6665039,"Chimique",0.448044235000233,0.447800786194882,0.448287708711259
"Urbain",836390.291992188,"urban",2822372.76831055,"Chimique",0.29634295702649,0.295810490310474,0.296875978126454
