"milieu","n_menages","sup_moy","sup_med","sup_sd","sup_p10","sup_p90","moy_parcelles"
"Urbain",819,1.291,0.462,5.879,0.027,2.631,2.01
"Rural",3093,2.049,1.151,9.691,0.114,4.025,3.05
