"variable","n","min","p10","p25","mediane","p75","p90","p95","p99","max","moyenne","ecart_type"
"Superficie parcelle (ha)",11067,1.7e-05,0.02,0.0648,0.345,0.809372,1.33748,2,4.04686,480,0.668074087075088,5.10891137350665
"Superficie ménage (ha)",3912,5e-05,0.076,0.30735,0.988,2.04843,3.844517,5.5368,11.753578,480.64896,1.88997339510736,9.03158192201231
