hhid,region,etat,lga,zone_residence,ea,cluster,strate,wt_wave4,identifiant_parcelle,superficie_declaree,superficie_gps_m2,superficie_parcelle,unite_superficie,mode_acquisition,superficie_ha_standard,superficie_ha_heaps,superficie_ha_ridges,superficie_ha_stands,area_ha,area_gps_ha,diff_ha,sous_estime,outlier,area_ha_propre
10062,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,1,NA,965.96997,2,5,Héritage,0.809372,NA,NA,NA,0.809372,0.096596997,-0.712775003,FALSE,FALSE,0.809372
10062,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,2,NA,550.15997,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.055015997000000004,-0.349670003,FALSE,FALSE,0.404686
10062,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,3,288.69,NA,1.5,5,Héritage,0.607029,NA,NA,NA,0.607029,NA,NA,NA,FALSE,0.607029
10063,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,1,138.06,120.27,1,1,Communautaire,NA,1.9e-4,NA,NA,1.9e-4,0.012027,0.011837,TRUE,FALSE,1.9e-4
10063,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,2,NA,1634.5,6,7,Héritage,6e-4,NA,NA,NA,6e-4,0.16345,0.16285000000000002,TRUE,FALSE,6e-4
10063,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,3,NA,368.14999,3,6,Héritage,3,NA,NA,NA,3,0.036814999,-2.963185001,FALSE,FALSE,3
10064,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,1,NA,1088.1,2,6,Héritage,2,NA,NA,NA,2,0.10880999999999999,-1.89119,FALSE,FALSE,2
10064,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,2,NA,1300.5,1300.5,7,Héritage,0.13005,NA,NA,NA,0.13005,0.13005,0,FALSE,FALSE,0.13005
10064,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,3,NA,915.76001,915.76,7,Héritage,0.091576,NA,NA,NA,0.091576,0.09157600099999999,9.999999855958563e-10,TRUE,FALSE,0.091576
10065,South East,Abia,102,Urbain,0,107-1044,4,3131.96923828125,1,NA,NA,1,5,Location,0.404686,NA,NA,NA,0.404686,NA,NA,NA,FALSE,0.404686
10065,South East,Abia,102,Urbain,0,107-1044,4,3131.96923828125,2,NA,NA,2,5,Prêt,0.809372,NA,NA,NA,0.809372,NA,NA,NA,FALSE,0.809372
10066,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,1,NA,1413.6,150,1,Héritage,NA,0.0285,NA,NA,0.0285,0.14135999999999999,0.11285999999999999,TRUE,FALSE,0.0285
10066,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,2,NA,2950.7,200,1,Héritage,NA,0.038,NA,NA,0.038,0.29507,0.25707,TRUE,FALSE,0.038
10067,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,1,NA,2693.3,250,1,Héritage,NA,0.0475,NA,NA,0.0475,0.26933,0.22183000000000003,TRUE,FALSE,0.0475
10067,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,2,NA,899.64001,200,1,Héritage,NA,0.038,NA,NA,0.038,0.089964001,0.051964001,TRUE,FALSE,0.038
10067,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,4,NA,226.19,150,3,Héritage,NA,NA,NA,0.006,0.006,0.022619,0.016619000000000002,TRUE,FALSE,0.006
10068,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,1,NA,2270.1001,500,1,Héritage,NA,0.095,NA,NA,0.095,0.22701001,0.13201001,TRUE,FALSE,0.095
10068,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,2,1607.1,NA,350,1,Héritage,NA,0.0665,NA,NA,0.0665,NA,NA,NA,FALSE,0.0665
10069,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,1,NA,469.88,200,1,Héritage,NA,0.038,NA,NA,0.038,0.046988,0.008988000000000003,TRUE,FALSE,0.038
10069,South East,Abia,107,Rural,1044,107-1044,4,3131.96923828125,2,NA,1245.5,156,1,Héritage,NA,0.029640000000000003,NA,NA,0.029640000000000003,0.12455,0.09491,TRUE,FALSE,0.029640000000000003
10070,South East,Abia,107,Rural,0,107-1044,4,3131.96923828125,1,NA,NA,600,1,Location,NA,0.114,NA,NA,0.114,NA,NA,NA,FALSE,0.114
10070,South East,Abia,107,Rural,0,107-1044,4,3131.96923828125,2,NA,820.28998,550,1,Héritage,NA,0.10450000000000001,NA,NA,0.10450000000000001,0.082028998,-0.022471002000000004,FALSE,FALSE,0.10450000000000001
10070,South East,Abia,107,Rural,0,107-1044,4,3131.96923828125,3,NA,NA,200.98,7,Héritage,0.020097999999999998,NA,NA,NA,0.020097999999999998,NA,NA,NA,FALSE,0.020097999999999998
10071,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,202.34,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.020234000000000002,-0.384452,FALSE,FALSE,0.404686
10071,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,497.39999,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.049739999,-0.354946001,FALSE,FALSE,0.404686
10071,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,3,NA,185.61,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,0.018561,-0.183782,FALSE,FALSE,0.202343
10071,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,4,NA,NA,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10072,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,380.82999,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,0.038082999,-0.164260001,FALSE,FALSE,0.202343
10072,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,418.98999,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,0.041898999,-0.160444001,FALSE,FALSE,0.202343
10072,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,3,NA,NA,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10073,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,594.21997,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,0.059421997,-0.142921003,FALSE,FALSE,0.202343
10073,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,NA,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10074,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,449.73999,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,0.044973999,-0.157369001,FALSE,FALSE,0.202343
10074,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,NA,NA,0.5,5,Héritage,0.202343,NA,NA,NA,0.202343,NA,NA,NA,FALSE,0.202343
10075,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,1,NA,535.5,300,1,Héritage,NA,0.057,NA,NA,0.057,0.05355,-0.0034500000000000017,FALSE,FALSE,0.057
10075,South East,Abia,117,Rural,560,117-560,4,2226.93994140625,2,514.48,273.10001,200,1,Héritage,NA,0.038,NA,NA,0.038,0.027310001,-0.010689998999999999,FALSE,FALSE,0.038
