hhid,region,etat,lga,zone_residence,ea,cluster,strate,wt_wave4,identifiant_parcelle,superficie_declaree,superficie_gps_m2,superficie_parcelle,unite_superficie,mode_acquisition,superficie_ha_standard,superficie_ha_heaps,superficie_ha_ridges,superficie_ha_stands,area_ha,area_gps_ha,diff_ha,sous_estime,outlier,area_ha_propre
79038,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,4,NA,1587.5,4000,1,Héritage,NA,0.48000000000000004,NA,NA,0.48000000000000004,0.15875,-0.32125000000000004,FALSE,FALSE,0.48000000000000004
79038,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,5,NA,4172.7002,300,2,Héritage,NA,NA,0.81,NA,0.81,0.41727002,-0.39272998000000003,FALSE,FALSE,0.81
79039,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,1,NA,8722.2998,3500,1,Héritage,NA,0.42,NA,NA,0.42,0.8722299800000001,0.4522299800000001,TRUE,FALSE,0.42
79039,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,2,NA,8211.2998,2,6,Héritage,2,NA,NA,NA,2,0.82112998,-1.17887002,FALSE,FALSE,2
79039,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,3,NA,2753.2,10,2,Héritage,NA,NA,0.027000000000000003,NA,0.027000000000000003,0.27532,0.24832,TRUE,FALSE,0.027000000000000003
79039,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,4,NA,NA,200,7,Héritage,0.02,NA,NA,NA,0.02,NA,NA,NA,FALSE,0.02
79039,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,5,NA,11553,5,6,Héritage,5,NA,NA,NA,5,1.1553,-3.8447,FALSE,FALSE,5
79040,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,1,834.57,904.81,2000,1,Location,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.09048099999999999,-0.149519,FALSE,FALSE,0.24000000000000002
79040,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,2,NA,NA,2500,2,Prêt,NA,NA,6.75,NA,6.75,NA,NA,NA,FALSE,6.75
79041,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79042,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,1,NA,4152.1001,400,1,Location,NA,0.048,NA,NA,0.048,0.41521000999999996,0.36721001,TRUE,FALSE,0.048
79042,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,2,NA,3269.5,78,2,Location,NA,NA,0.2106,NA,0.2106,0.32695,0.11635000000000001,TRUE,FALSE,0.2106
79042,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,3,NA,7213,1,5,Location,0.404686,NA,NA,NA,0.404686,0.7213,0.31661400000000006,TRUE,FALSE,0.404686
79043,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,1,NA,843.38,1,6,Location,1,NA,NA,NA,1,0.084338,-0.915662,FALSE,FALSE,1
79043,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,2,NA,3947.2,1,6,Location,1,NA,NA,NA,1,0.39471999999999996,-0.60528,FALSE,FALSE,1
79045,North Central,Benue,723,Rural,0,705-3834,1,3181.23291015625,1,NA,NA,100,7,Location,0.01,NA,NA,NA,0.01,NA,NA,NA,FALSE,0.01
79046,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,1,NA,NA,1,6,Location,1,NA,NA,NA,1,NA,NA,NA,FALSE,1
79047,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,1,NA,1763.3,60,2,Prêt,NA,NA,0.162,NA,0.162,0.17633,0.014329999999999982,TRUE,FALSE,0.162
79047,North Central,Benue,705,Urbain,3834,705-3834,1,3181.23291015625,2,NA,2608.2,1200,1,Prêt,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.26082,0.11681999999999998,TRUE,FALSE,0.14400000000000002
79051,South West,Kwara,2408,Urbain,0,713-694,1,4352.06591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79052,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79053,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79054,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79055,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,1,NA,NA,50,7,Location,0.005,NA,NA,NA,0.005,NA,NA,NA,FALSE,0.005
79056,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,1,NA,NA,100,7,Location,0.01,NA,NA,NA,0.01,NA,NA,NA,FALSE,0.01
79057,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,1,NA,NA,100,7,Propriété pleine,0.01,NA,NA,NA,0.01,NA,NA,NA,FALSE,0.01
79058,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79059,North Central,Benue,713,Urbain,694,713-694,1,4352.06591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79060,North Central,Benue,713,Urbain,694,713-694,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79061,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,4266.6001,4000,1,Héritage,NA,0.48000000000000004,NA,NA,0.48000000000000004,0.42666001,-0.05333999000000006,FALSE,FALSE,0.48000000000000004
79061,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,2630.8999,6000,1,Héritage,NA,0.72,NA,NA,0.72,0.26308999,-0.45691001,FALSE,FALSE,0.72
79061,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,3,NA,3223.2,2000,1,Héritage,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.32232,0.08231999999999998,TRUE,FALSE,0.24000000000000002
79061,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,4,NA,NA,30,7,Héritage,0.003,NA,NA,NA,0.003,NA,NA,NA,FALSE,0.003
79062,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,1782.1,2400,1,Héritage,NA,0.28800000000000003,NA,NA,0.28800000000000003,0.17820999999999998,-0.10979000000000005,FALSE,FALSE,0.28800000000000003
79062,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,3,NA,1311.3,2000,1,Héritage,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.13113,-0.10887000000000002,FALSE,FALSE,0.24000000000000002
79062,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,4,NA,3115.8,2800,1,Héritage,NA,0.336,NA,NA,0.336,0.31158,-0.024419999999999997,FALSE,FALSE,0.336
79062,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,5,NA,3357.5,1600,1,Héritage,NA,0.192,NA,NA,0.192,0.33575,0.14375,TRUE,FALSE,0.192
79064,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,5260.8999,5000,1,Héritage,NA,0.6,NA,NA,0.6,0.52608999,-0.07391000999999997,FALSE,FALSE,0.6
79064,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,4917.7002,4000,1,Héritage,NA,0.48000000000000004,NA,NA,0.48000000000000004,0.49177002000000003,0.011770019999999992,TRUE,FALSE,0.48000000000000004
79064,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,3,NA,2532.8,4000,1,Héritage,NA,0.48000000000000004,NA,NA,0.48000000000000004,0.25328,-0.22672000000000003,FALSE,FALSE,0.48000000000000004
79064,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,4,NA,4381.5,2000,1,Héritage,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.43815,0.19814999999999997,TRUE,FALSE,0.24000000000000002
79065,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,7121.8999,4800,1,Héritage,NA,0.5760000000000001,NA,NA,0.5760000000000001,0.71218999,0.13618998999999998,TRUE,FALSE,0.5760000000000001
79065,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,6488.1001,6400,1,Héritage,NA,0.768,NA,NA,0.768,0.6488100099999999,-0.11918999000000008,FALSE,FALSE,0.768
79065,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,3,NA,4736.1001,3200,1,Héritage,NA,0.384,NA,NA,0.384,0.47361000999999997,0.08961000999999996,TRUE,FALSE,0.384
79066,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,385.85001,400,1,Héritage,NA,0.048,NA,NA,0.048,0.038585001,-0.009414999,FALSE,FALSE,0.048
79066,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,3263.2,4800,1,Héritage,NA,0.5760000000000001,NA,NA,0.5760000000000001,0.32632,-0.24968000000000007,FALSE,FALSE,0.5760000000000001
79066,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,3,NA,298.84,1200,1,Prêt,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.029883999999999997,-0.11411600000000002,FALSE,FALSE,0.14400000000000002
79067,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,3902.1001,4000,1,Héritage,NA,0.48000000000000004,NA,NA,0.48000000000000004,0.39021001,-0.08978999000000004,FALSE,FALSE,0.48000000000000004
79067,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,623.3,628.79999,800,1,Héritage,NA,0.096,NA,NA,0.096,0.06287999899999999,-0.03312000100000001,FALSE,FALSE,0.096
79067,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,3,NA,1452.9,1600,1,Héritage,NA,0.192,NA,NA,0.192,0.14529,-0.04671,FALSE,FALSE,0.192
79067,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,4,NA,NA,50,7,Héritage,0.005,NA,NA,NA,0.005,NA,NA,NA,FALSE,0.005
79068,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,792.46997,5000,1,Héritage,NA,0.6,NA,NA,0.6,0.079246997,-0.5207530029999999,FALSE,FALSE,0.6
79068,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,8481.5996,3,5,Héritage,1.214058,NA,NA,NA,1.214058,0.8481599599999999,-0.36589804000000015,FALSE,FALSE,1.214058
79069,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,5280.1001,3200,1,Héritage,NA,0.384,NA,NA,0.384,0.5280100099999999,0.1440100099999999,TRUE,FALSE,0.384
79069,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,6783.5,8000,1,Héritage,NA,0.9600000000000001,NA,NA,0.9600000000000001,0.67835,-0.28165000000000007,FALSE,FALSE,0.9600000000000001
79070,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,11138,10000,1,Héritage,NA,1.2,NA,NA,1.2,1.1138,-0.08620000000000005,FALSE,FALSE,1.2
79070,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,13861,10000,1,Héritage,NA,1.2,NA,NA,1.2,1.3861,0.18610000000000015,TRUE,FALSE,1.2
79070,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,3,NA,5377,1000,2,Héritage,NA,NA,2.7,NA,2.7,0.5377,-2.1623,FALSE,FALSE,2.7
79072,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,1,NA,2759.5,3000,5,Héritage,1214.058,NA,NA,NA,1214.058,0.27595,-1213.78205,FALSE,TRUE,NA
79072,North Central,Benue,716,Rural,458,716-458,1,2519.570068359375,2,NA,6303.1001,10000,1,Héritage,NA,1.2,NA,NA,1.2,0.63031001,-0.56968999,FALSE,FALSE,1.2
79073,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,2921.7,250,1,Héritage,NA,0.030000000000000002,NA,NA,0.030000000000000002,0.29217,0.26216999999999996,TRUE,FALSE,0.030000000000000002
79074,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,5151,500,1,Héritage,NA,0.060000000000000005,NA,NA,0.060000000000000005,0.5151,0.4551,TRUE,FALSE,0.060000000000000005
79074,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,1601.6,1328.8,200,7,Héritage,0.02,NA,NA,NA,0.02,0.13288,0.11288,TRUE,FALSE,0.02
79074,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,NA,100,7,Héritage,0.01,NA,NA,NA,0.01,NA,NA,NA,FALSE,0.01
79075,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,13109,1,5,Héritage,0.404686,NA,NA,NA,0.404686,1.3109,0.906214,TRUE,FALSE,0.404686
79075,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,3694.6001,1.5,5,Héritage,0.607029,NA,NA,NA,0.607029,0.36946001,-0.23756899000000004,FALSE,FALSE,0.607029
79075,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,9489.2002,2.5,5,Héritage,1.011715,NA,NA,NA,1.011715,0.94892002,-0.06279497999999994,FALSE,FALSE,1.011715
79075,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,4,NA,5896.7998,1.5,5,Héritage,0.607029,NA,NA,NA,0.607029,0.58967998,-0.01734902000000005,FALSE,FALSE,0.607029
79077,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,1916.6,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.19166,-0.213026,FALSE,FALSE,0.404686
79077,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,1580.8,2,5,Héritage,0.809372,NA,NA,NA,0.809372,0.15808,-0.651292,FALSE,FALSE,0.809372
79077,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,1176.4,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.11764000000000001,-0.28704599999999997,FALSE,FALSE,0.404686
79078,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,7326.2998,2000,1,Héritage,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.73262998,0.49262998,TRUE,FALSE,0.24000000000000002
79078,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,2939.8,500,1,Héritage,NA,0.060000000000000005,NA,NA,0.060000000000000005,0.29398,0.23398000000000002,TRUE,FALSE,0.060000000000000005
79078,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,NA,50,7,Héritage,0.005,NA,NA,NA,0.005,NA,NA,NA,FALSE,0.005
79080,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,7863.1001,1600,1,Héritage,NA,0.192,NA,NA,0.192,0.78631001,0.59431001,TRUE,FALSE,0.192
79080,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,6062.5,300,2,Héritage,NA,NA,0.81,NA,0.81,0.60625,-0.2037500000000001,FALSE,FALSE,0.81
79080,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,7654.2002,3,6,Héritage,3,NA,NA,NA,3,0.76542002,-2.23457998,FALSE,FALSE,3
79080,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,4,NA,NA,2,6,Héritage,2,NA,NA,NA,2,NA,NA,NA,FALSE,2
79081,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,3537.3999,1200,1,Héritage,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.35373999,0.20973999,TRUE,FALSE,0.14400000000000002
79081,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,5690.7998,1600,1,Héritage,NA,0.192,NA,NA,0.192,0.5690799799999999,0.3770799799999999,TRUE,FALSE,0.192
79081,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,NA,50,7,Héritage,0.005,NA,NA,NA,0.005,NA,NA,NA,FALSE,0.005
79082,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,1621.9,1200,1,Héritage,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.16219,0.018189999999999984,TRUE,FALSE,0.14400000000000002
79082,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,1961,800,1,Héritage,NA,0.096,NA,NA,0.096,0.1961,0.1001,TRUE,FALSE,0.096
79082,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,1696.5,1600,1,Héritage,NA,0.192,NA,NA,0.192,0.16965,-0.02235000000000001,FALSE,FALSE,0.192
79082,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,4,NA,NA,30,7,Héritage,0.003,NA,NA,NA,0.003,NA,NA,NA,FALSE,0.003
79083,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,2072.6001,400,1,Héritage,NA,0.048,NA,NA,0.048,0.20726001000000002,0.15926001,TRUE,FALSE,0.048
79083,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,3479.1001,350,1,Héritage,NA,0.042,NA,NA,0.042,0.34791001,0.30591001,TRUE,FALSE,0.042
79083,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,1349.6,100,1,Héritage,NA,0.012,NA,NA,0.012,0.13496,0.12296,TRUE,FALSE,0.012
79083,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,4,NA,1481.5,400,1,Héritage,NA,0.048,NA,NA,0.048,0.14815,0.10015,TRUE,FALSE,0.048
79083,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,5,NA,2178.8999,250,1,Héritage,NA,0.030000000000000002,NA,NA,0.030000000000000002,0.21788998999999998,0.18788998999999998,TRUE,FALSE,0.030000000000000002
79083,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,6,NA,1560.6,120,1,Héritage,NA,0.0144,NA,NA,0.0144,0.15606,0.14166,TRUE,FALSE,0.0144
79084,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,1,NA,1376.1,300,1,Héritage,NA,0.036000000000000004,NA,NA,0.036000000000000004,0.13760999999999998,0.10160999999999998,TRUE,FALSE,0.036000000000000004
79084,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,2,NA,1329.1,350,1,Héritage,NA,0.042,NA,NA,0.042,0.13291,0.09090999999999999,TRUE,FALSE,0.042
79084,North Central,Benue,717,Rural,478,717-478,1,3060.815185546875,3,NA,NA,20,7,Héritage,0.002,NA,NA,NA,0.002,NA,NA,NA,FALSE,0.002
79085,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,676.57001,800,1,Héritage,NA,0.096,NA,NA,0.096,0.06765700100000001,-0.028342998999999994,FALSE,FALSE,0.096
79085,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,2276.8,6000,1,Héritage,NA,0.72,NA,NA,0.72,0.22768000000000002,-0.49232,FALSE,FALSE,0.72
79085,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,3,2468.4,NA,2,5,Héritage,0.809372,NA,NA,NA,0.809372,NA,NA,NA,FALSE,0.809372
79085,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,4,NA,492.98999,800,1,Héritage,NA,0.096,NA,NA,0.096,0.049298998999999996,-0.046701001000000006,FALSE,FALSE,0.096
79087,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,1660.2,2000,1,Héritage,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.16602,-0.07398000000000002,FALSE,FALSE,0.24000000000000002
79087,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,695.72998,400,1,Héritage,NA,0.048,NA,NA,0.048,0.069572998,0.021572997999999996,TRUE,FALSE,0.048
79088,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,NA,30,7,Propriété pleine,0.003,NA,NA,NA,0.003,NA,NA,NA,FALSE,0.003
79090,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,643.70001,800,1,Héritage,NA,0.096,NA,NA,0.096,0.064370001,-0.031629999000000006,FALSE,FALSE,0.096
79090,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,5333.3999,6000,1,Héritage,NA,0.72,NA,NA,0.72,0.53333999,-0.18666001,FALSE,FALSE,0.72
79091,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,324.23999,400,1,Héritage,NA,0.048,NA,NA,0.048,0.032423998999999995,-0.015576001000000006,FALSE,FALSE,0.048
79091,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,3668.8,4000,1,Héritage,NA,0.48000000000000004,NA,NA,0.48000000000000004,0.36688000000000004,-0.11312,FALSE,FALSE,0.48000000000000004
79092,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,525.29999,1200,1,Héritage,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.052529999,-0.09147000100000002,FALSE,FALSE,0.14400000000000002
79092,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,1879.3,2000,1,Héritage,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.18792999999999999,-0.05207000000000003,FALSE,FALSE,0.24000000000000002
79092,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,3,NA,571.40002,800,1,Héritage,NA,0.096,NA,NA,0.096,0.057140002,-0.038859998,FALSE,FALSE,0.096
79092,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,4,NA,NA,50,7,Héritage,0.005,NA,NA,NA,0.005,NA,NA,NA,FALSE,0.005
79093,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,1408.5,800,1,Héritage,NA,0.096,NA,NA,0.096,0.14085,0.04485,TRUE,FALSE,0.096
79093,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,1080.2,400,1,Héritage,NA,0.048,NA,NA,0.048,0.10802,0.060020000000000004,TRUE,FALSE,0.048
79093,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,3,NA,555.59998,600,1,Héritage,NA,0.07200000000000001,NA,NA,0.07200000000000001,0.055559998,-0.01644000200000001,FALSE,FALSE,0.07200000000000001
79093,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,4,NA,1104.7,800,1,Héritage,NA,0.096,NA,NA,0.096,0.11047,0.014469999999999997,TRUE,FALSE,0.096
79094,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,1636.2,2400,1,Héritage,NA,0.28800000000000003,NA,NA,0.28800000000000003,0.16362000000000002,-0.12438000000000002,FALSE,FALSE,0.28800000000000003
79094,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,260.29999,800,1,Héritage,NA,0.096,NA,NA,0.096,0.026029998999999998,-0.069970001,FALSE,FALSE,0.096
79094,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,3,NA,2275.2,1200,1,Héritage,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.22751999999999997,0.08351999999999996,TRUE,FALSE,0.14400000000000002
79094,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,4,NA,NA,50,7,Héritage,0.005,NA,NA,NA,0.005,NA,NA,NA,FALSE,0.005
79095,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,447.64,270.29999,400,1,Propriété pleine,NA,0.048,NA,NA,0.048,0.027029999,-0.020970001000000002,FALSE,FALSE,0.048
79095,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,1609.5,1200,1,Location,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.16095,0.016949999999999993,TRUE,FALSE,0.14400000000000002
79095,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,3,NA,13777,6000,1,Propriété pleine,NA,0.72,NA,NA,0.72,1.3777,0.6577,TRUE,FALSE,0.72
79095,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,4,NA,NA,30,7,Héritage,0.003,NA,NA,NA,0.003,NA,NA,NA,FALSE,0.003
79096,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,1,NA,5517.8999,6400,1,Héritage,NA,0.768,NA,NA,0.768,0.5517899900000001,-0.21621000999999995,FALSE,FALSE,0.768
79096,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,2,NA,5402.2002,2000,1,Héritage,NA,0.24000000000000002,NA,NA,0.24000000000000002,0.54022002,0.30022002000000003,TRUE,FALSE,0.24000000000000002
79096,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,3,NA,763.72998,1600,1,Héritage,NA,0.192,NA,NA,0.192,0.076372998,-0.115627002,FALSE,FALSE,0.192
79096,North Central,Benue,718,Rural,504,718-504,1,11633.9990234375,4,NA,NA,100,7,Propriété pleine,0.01,NA,NA,NA,0.01,NA,NA,NA,FALSE,0.01
79097,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,1,NA,573.39001,1,5,Héritage,0.404686,NA,NA,NA,0.404686,0.057339000999999994,-0.347346999,FALSE,FALSE,0.404686
79097,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,2,NA,21452,4,5,Héritage,1.618744,NA,NA,NA,1.618744,2.1452,0.526456,TRUE,FALSE,1.618744
79098,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,1,253.81,295.64001,400,1,Prêt,NA,0.048,NA,NA,0.048,0.029564001000000003,-0.018435998999999998,FALSE,FALSE,0.048
79098,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,2,NA,504.69,500,1,Prêt,NA,0.060000000000000005,NA,NA,0.060000000000000005,0.050469,-0.009531000000000005,FALSE,FALSE,0.060000000000000005
79098,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,3,NA,1226.8,1200,1,Prêt,NA,0.14400000000000002,NA,NA,0.14400000000000002,0.12268,-0.02132000000000002,FALSE,FALSE,0.14400000000000002
79099,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,1,NA,1558.4,5,5,Héritage,2.02343,NA,NA,NA,2.02343,0.15584,-1.8675899999999999,FALSE,FALSE,2.02343
79099,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,2,NA,3319.8,3,5,Héritage,1.214058,NA,NA,NA,1.214058,0.33198,-0.8820780000000001,FALSE,FALSE,1.214058
79099,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,3,NA,576.46002,2,5,Héritage,0.809372,NA,NA,NA,0.809372,0.057646002,-0.751725998,FALSE,FALSE,0.809372
79101,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,1,NA,1986.2,2,5,Location,0.809372,NA,NA,NA,0.809372,0.19862,-0.610752,FALSE,FALSE,0.809372
79101,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,2,NA,1328.6,2,5,Location,0.809372,NA,NA,NA,0.809372,0.13285999999999998,-0.676512,FALSE,FALSE,0.809372
79101,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,4,NA,1683.8,3,5,Location,1.214058,NA,NA,NA,1.214058,0.16838,-1.045678,FALSE,FALSE,1.214058
79102,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,1,NA,734,2400,1,Prêt,NA,0.28800000000000003,NA,NA,0.28800000000000003,0.0734,-0.2146,FALSE,FALSE,0.28800000000000003
79102,North Central,Benue,718,Rural,1228,718-1228,1,1136.6251220703125,2,NA,804.71997,500,1,Prêt,NA,0.060000000000000005,NA,NA,0.060000000000000005,0.080471997,0.020471997,TRUE,FALSE,0.060000000000000005
