"identifiant_menage","superficie_totale_ha","superficie_gps_totale_ha","nb_parcelles","nb_parcelles_valides","region","etat","zone_residence","lga","strate","poids_menage"
19140,0.404686,0.062683002,2,2,4,1,2,111,4,5772.70556640625
19141,1.214058,0.336283001,3,3,4,1,2,111,4,5772.70556640625
19143,1.011715,0.159507999,4,4,4,1,2,111,4,5772.70556640625
19144,0.809372,0.10626,2,2,4,1,2,111,4,5772.70556640625
19145,0,0,1,0,4,1,2,112,4,2065.22998046875
19146,0,0,1,0,4,1,2,112,4,2065.22998046875
19147,0,0,1,0,4,1,2,112,4,2065.22998046875
19148,0,0,1,0,4,1,2,112,4,2065.22998046875
19149,0,0,1,0,4,1,2,112,4,2065.22998046875
19150,0,0,1,0,4,1,2,112,4,2065.22998046875
19151,0.009865,0,1,1,4,1,2,112,4,2065.22998046875
19152,0,0,1,0,4,1,2,112,4,2065.22998046875
19153,0.025498,0.025498,1,1,4,1,2,112,4,2065.22998046875
19158,2.03498,0.054796997,6,6,4,1,2,112,4,2568.56591796875
19159,2.03598,0.2404,6,6,4,1,2,112,4,2568.56591796875
19160,0.408046,0.39699,3,3,4,1,2,112,4,2568.56591796875
19161,1.325551,0.111492999,4,4,4,1,2,112,4,2568.56591796875
19163,0.866372,0.31591,3,3,4,1,2,112,4,2568.56591796875
19164,2.832802,0.53984001,5,5,4,1,2,112,4,2568.56591796875
19165,0.828372,0.051809998,3,3,4,1,2,112,4,2568.56591796875
19166,0.336766,0.391417002,5,5,4,1,2,112,4,2568.56591796875
19167,0.257598,0.091507999,3,3,4,1,2,112,4,2568.56591796875
19168,0.437,1.100777979,4,4,4,1,2,112,4,2568.56591796875
19169,3.237488,0.80316001,6,6,4,1,2,113,4,710.657043457031
19170,2.272104,0.65336001,3,3,4,1,2,113,4,710.657043457031
19173,2.031257,0.4250370097,3,3,4,1,2,113,4,710.657043457031
19174,2.08043,0.076732001,4,4,4,1,2,113,4,710.657043457031
