hhid,total_area_ha,total_area_gps_ha,n_plots,n_plots_valides,region,etat,zone_residence,strate,wt_wave4
10065,1.214058,0,2,2,South East,Abia,Urbain,4,3131.96923828125
10066,0.0665,0.43643,2,2,South East,Abia,Rural,4,3131.96923828125
10067,0.0915,0.38191300100000003,3,3,South East,Abia,Rural,4,3131.96923828125
10068,0.1615,0.22701001,2,2,South East,Abia,Rural,4,3131.96923828125
10069,0.06764,0.171538,2,2,South East,Abia,Rural,4,3131.96923828125
10070,0.238598,0.082028998,3,3,South East,Abia,Rural,4,3131.96923828125
10071,1.214058,0.088534999,4,4,South East,Abia,Rural,4,2226.93994140625
10072,0.607029,0.079981998,3,3,South East,Abia,Rural,4,2226.93994140625
10073,0.404686,0.059421997,2,2,South East,Abia,Rural,4,2226.93994140625
10074,0.404686,0.044973999,2,2,South East,Abia,Rural,4,2226.93994140625
10075,0.173596,0.080860001,3,3,South East,Abia,Rural,4,2226.93994140625
10076,0.141992,0.060506999,3,3,South East,Abia,Rural,4,2226.93994140625
10077,0.677343,0.032717001,2,2,South East,Abia,Rural,4,2226.93994140625
10078,0.529046,0.039978,3,3,South East,Abia,Rural,4,2226.93994140625
10079,0.5129859999999999,0.079085,3,3,South East,Abia,Rural,4,2226.93994140625
10080,1.6150000000000002,0.065217001,3,3,South East,Abia,Rural,4,2226.93994140625
10091,1.618744,0.29609701,3,3,South East,Abia,Rural,4,1866.337158203125
10092,1.214058,0.123414997,3,3,South East,Abia,Rural,4,1866.337158203125
10093,0.4225,0.199436002,5,5,South South,Akwa Ibom,Rural,4,1866.337158203125
10094,1.214058,0.137134003,2,2,South East,Abia,Rural,4,1866.337158203125
10096,0.182018,0.069601,3,3,South East,Abia,Rural,4,1866.337158203125
10097,0.632686,0.182452,4,4,South East,Abia,Rural,4,1866.337158203125
10098,0.404686,0,1,1,South East,Abia,Rural,4,1866.337158203125
10099,0.404686,0.033014001,1,1,South East,Abia,Rural,4,1866.337158203125
10100,1.618744,0.202065999,4,4,South East,Abia,Rural,4,1866.337158203125
10102,1.615,0.181342004,3,3,South East,Abia,Rural,4,5453.29833984375
10103,0.220769,0.487525012,3,3,South East,Abia,Rural,4,5453.29833984375
10104,0.093772,0.20811999999999997,2,2,South East,Abia,Rural,4,5453.29833984375
10105,0.179832,1.0713899900000001,3,3,South East,Abia,Rural,4,5453.29833984375
10106,0.29944800000000005,1.3378800100000001,4,4,South East,Abia,Rural,4,5453.29833984375
10107,0.404686,0.33988999,2,2,South East,Abia,Rural,4,5453.29833984375
10108,0.607029,0.038141,2,2,South East,Abia,Rural,4,5453.29833984375
10109,1.214058,0.79930998,3,3,South East,Abia,Rural,4,5453.29833984375
10110,0.809372,0.34051,3,3,South East,Abia,Rural,4,5453.29833984375
19001,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19002,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19005,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19006,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19007,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19008,0.809372,0.182737002,2,2,South East,Abia,Urbain,4,3688.921875
19009,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19010,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19012,NA,0,1,0,South East,Abia,Urbain,4,3688.921875
19014,0.025096,0,1,1,South East,Abia,Urbain,4,5176.703125
19015,NA,0,1,0,South East,Abia,Urbain,4,5176.703125
19017,NA,0,1,0,South East,Abia,Urbain,4,5176.703125
19018,NA,0,1,0,South East,Abia,Urbain,4,5176.703125
19019,NA,0,1,0,South East,Abia,Urbain,4,5176.703125
19020,NA,0,1,0,South East,Abia,Urbain,4,5176.703125
19023,0.010062999999999999,0,1,1,South East,Abia,Urbain,4,5176.703125
19024,NA,0,1,0,South East,Abia,Urbain,4,5176.703125
19025,NA,0,1,0,South East,Abia,Urbain,4,4284.16796875
19026,NA,0,1,0,South East,Abia,Urbain,4,4284.16796875
19029,NA,0,1,0,South East,Abia,Urbain,4,4284.16796875
19031,NA,0,1,0,South East,Abia,Urbain,4,4284.16796875
19032,NA,0,1,0,South East,Abia,Urbain,4,4284.16796875
19033,0.010098000000000001,0,1,1,South East,Abia,Urbain,4,4284.16796875
19034,NA,0,1,0,South East,Abia,Urbain,4,4284.16796875
19035,0.009886,0,1,1,South East,Abia,Urbain,4,4284.16796875
19036,0.025,0,1,1,South East,Abia,Urbain,4,4284.16796875
19037,NA,0,1,0,South East,Abia,Rural,4,1890.3896484375
19038,0.809372,0.025213,2,2,South East,Abia,Rural,4,1890.3896484375
19039,1.214058,0.092751001,2,2,South East,Abia,Rural,4,1890.3896484375
19040,NA,0,1,0,South East,Abia,Rural,4,1890.3896484375
19041,0.809372,0.24686999999999998,2,2,South East,Abia,Rural,4,1890.3896484375
19043,1.618744,0,4,4,South East,Abia,Rural,4,1890.3896484375
19044,0.809372,0.05251800100000001,2,2,South East,Abia,Rural,4,1890.3896484375
19045,0.532,0.046403,2,2,South East,Abia,Rural,4,1890.3896484375
19047,0.809372,0.23827700000000002,2,2,South East,Abia,Rural,4,1890.3896484375
19048,2.114686,0.259133999,4,4,South East,Abia,Rural,4,1890.3896484375
19049,0.209017,0.161454004,2,2,South East,Abia,Rural,4,5403.970703125
19050,NA,0,1,0,South East,Abia,Rural,4,5403.970703125
19051,1.618744,0.128370999,3,3,South East,Abia,Rural,4,5403.970703125
19052,0.809372,0.15444000100000002,2,2,South East,Abia,Rural,4,5403.970703125
19054,1.274858,0.094052997,4,4,South East,Abia,Rural,4,5403.970703125
19055,0.8662639999999999,0.25039999999999996,3,3,South East,Abia,Rural,4,5403.970703125
19056,0.095,0,1,1,South East,Abia,Rural,4,5403.970703125
19058,0.809372,0.2020250002,2,2,South East,Abia,Rural,4,5403.970703125
19060,0.5700000000000001,0.200302001,2,2,South East,Abia,Rural,4,5403.970703125
19061,0.057401999999999995,0.074664001,2,2,South East,Abia,Rural,4,4115.0234375
19062,0.125562,0,3,3,South East,Abia,Rural,4,4115.0234375
19063,0.111565,0.12475,3,3,South East,Abia,Rural,4,4115.0234375
19064,0.3048,0.09608599899999999,4,4,South East,Abia,Rural,4,4115.0234375
19066,0.2255,0,3,3,South East,Abia,Rural,4,4115.0234375
19068,0.3015,0.247164003,3,3,South East,Abia,Rural,4,4115.0234375
19069,0.261,0.27119000000000004,3,3,South East,Abia,Rural,4,4115.0234375
19070,0.27899,0.119697,5,5,South East,Abia,Rural,4,4115.0234375
19071,0.20457,0.042689999,4,4,South East,Abia,Rural,4,4115.0234375
19072,1.46673,0.37147,7,7,South East,Abia,Rural,4,4115.0234375
19073,0.1615,0.27522,3,3,South East,Abia,Rural,4,5029.37158203125
19075,0.0532,0.168741,2,2,South East,Abia,Rural,4,5029.37158203125
19076,0.0342,0.029545999999999996,2,2,South East,Abia,Rural,4,5029.37158203125
19077,0.258904,0.10456599899999999,5,5,South East,Abia,Rural,4,5029.37158203125
19079,0.09612000000000001,0.11048,2,2,South East,Abia,Rural,4,5029.37158203125
19080,0.427486,0.016368999999999998,2,2,South East,Abia,Rural,4,5029.37158203125
19081,0.1805,0.26965,2,2,South East,Abia,Rural,4,5029.37158203125
19082,0.437,0.231000999,6,6,South East,Abia,Rural,4,5029.37158203125
19084,0.38453200000000004,0.060176001,4,4,South East,Abia,Rural,4,5029.37158203125
19085,0.150095,0.084813,3,3,South East,Abia,Rural,4,3652.972900390625
