hhid,area_declared_ha,area_gps_ha,diff_ha,sous_estime
19060,0.38,0.14297,-0.23703,FALSE
19061,0.0285,0.074664001,0.046164000999999996,TRUE
19063,0.038,0.12475,0.08675,TRUE
19064,0.0475,0.009893,-0.037607,FALSE
19064,0.12350000000000001,0.08619299899999999,-0.03730700100000002,FALSE
19068,0.12350000000000001,0.17318,0.04967999999999999,TRUE
19068,0.133,0.07398400299999999,-0.059015997000000014,FALSE
19069,0.057,0.14047,0.08347000000000002,TRUE
19069,0.076,0.13072,0.054720000000000005,TRUE
19070,0.076,0.091832001,0.015832001,TRUE
19070,0.038,0.027864999,-0.010135000999999998,FALSE
19071,0.0437,0.042689999,-0.0010100010000000034,FALSE
19072,0.014730000000000002,0.014730000000000002,0,FALSE
19072,0.38,0.10934,-0.27066,FALSE
19072,0.342,0.2474,-0.09460000000000002,FALSE
19073,0.038,0.13499,0.09698999999999999,TRUE
19073,0.057,0.14023,0.08323,TRUE
19075,0.015200000000000002,0.045231,0.030031,TRUE
19075,0.038,0.12351,0.08551,TRUE
19076,0.015200000000000002,0.017838999999999997,0.0026389999999999955,TRUE
19076,0.019,0.011706999999999999,-0.007293000000000001,FALSE
19077,0.022211,0.022211,0,FALSE
19077,0.082355,0.082354999,-9.999999994736442e-10,FALSE
19079,1e-4,0.11048,0.11037999999999999,TRUE
19080,0.404686,0.016368999999999998,-0.38831699999999997,FALSE
19081,0.114,0.26965,0.15565,TRUE
19082,0.076,0.12334,0.04734000000000001,TRUE
19082,0.076,0.088654999,0.012654999,TRUE
19082,0.0285,0.019006,-0.009494000000000002,FALSE
19084,0.095,0.060176001,-0.034823999,FALSE
19085,0.057,0.084813,0.027812999999999997,TRUE
19087,0.019,0.043023001,0.024023001,TRUE
19087,0.0285,0.0382,0.009699999999999997,TRUE
19088,0.0285,0.016314999,-0.012185001,FALSE
19089,0.038,0.05634000200000001,0.018340002000000008,TRUE
19091,0.19,0.5063,0.31629999999999997,TRUE
19091,0.038,0.057962,0.019962,TRUE
19092,0.076,0.028377999999999997,-0.047622,FALSE
19093,0.0722,0.085023999,0.012823999000000003,TRUE
19094,0.14250000000000002,0.11399000000000001,-0.028510000000000008,FALSE
19094,0.12350000000000001,0.08006099900000001,-0.043439001000000005,FALSE
19095,0.0285,0.042531,0.014030999999999998,TRUE
19096,0.038,0.061087,0.023087000000000003,TRUE
19096,0.0342,0.08981599700000001,0.05561599700000001,TRUE
19097,0.38,0.12635,-0.25365000000000004,FALSE
19097,0.5795,0.34628999,-0.23321001000000002,FALSE
19097,0.228,0.18734,-0.04066,FALSE
19099,0.038,0.073898999,0.03589899900000001,TRUE
19100,0.095,0.15492,0.05992,TRUE
19100,0.152,0.16624,0.014240000000000003,TRUE
19101,0.019,0.020509,0.001509,TRUE
19104,0.114,0.28581001,0.17181001,TRUE
19105,0.0855,0.072332001,-0.013167999,FALSE
19105,0.0855,0.14765999999999999,0.06215999999999998,TRUE
19106,0.014820000000000002,0.0097300003,-0.005089999700000002,FALSE
19107,0.038,0.052565997,0.014565997000000004,TRUE
19110,0.22571,0.22571001000000002,1.0000000022492017e-8,TRUE
19110,0.1726,0.1726,0,FALSE
19111,0.0855,0.1128,0.02729999999999999,TRUE
19111,0.038,0.082895001,0.044895001,TRUE
19112,0.114,0.15529,0.04129000000000001,TRUE
19113,0.12177,0.12177,0,FALSE
19113,0.21888000000000002,0.21888000000000002,0,FALSE
19115,0.076,0.049663,-0.026337,FALSE
19115,0.095,0.12508,0.030079999999999996,TRUE
19116,0.114,0.15778,0.04378,TRUE
19116,0.1273,0.16115,0.03384999999999999,TRUE
19117,0.095,0.19193,0.09692999999999999,TRUE
19117,0.095,0.064459003,-0.030540997,FALSE
19117,0.076,0.090759998,0.014759997999999996,TRUE
19117,0.076,0.040512,-0.035488,FALSE
19118,0.076,0.12380999999999999,0.04780999999999999,TRUE
19119,0.095,0.21058000000000002,0.11558000000000002,TRUE
19119,0.0665,0.16342,0.09692,TRUE
19120,0.095,0.19574,0.10074,TRUE
19120,0.114,0.23815,0.12415,TRUE
19120,0.0475,0.05778099999999999,0.010280999999999992,TRUE
19121,0.404686,0.096677002,-0.308008998,FALSE
