"identifiant_menage","region","etat","lga","zone_residence","ea","cluster","strate","poids_menage","identifiant_parcelle","superficie_declaree","superficie_gps_m2","superficie_parcelle","unite_superficie","mode_acquisition","superficie_ha_standard","superficie_ha_heaps","superficie_ha_ridges","superficie_ha_stands","superficie_ha","superficie_gps_ha","outlier_superficie","superficie_ha_propre"
10062,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,3,288.69,NA,1.5,5,"héritage",0.607029,NA,NA,NA,0.607029,NA,FALSE,0.607029
10063,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,1,138.06,120.27,1,1,"communautaire",NA,0.00019,NA,NA,0.00019,0.012027,FALSE,0.00019
10063,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,2,NA,1634.5,6,7,"héritage",6e-04,NA,NA,NA,6e-04,0.16345,FALSE,6e-04
10063,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,3,NA,368.14999,3,6,"héritage",3,NA,NA,NA,3,0.036814999,FALSE,3
10064,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,1,NA,1088.1,2,6,"héritage",2,NA,NA,NA,2,0.10881,FALSE,2
10064,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,2,NA,1300.5,1300.5,7,"héritage",0.13005,NA,NA,NA,0.13005,0.13005,FALSE,0.13005
10064,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,3,NA,915.76001,915.76,7,"héritage",0.091576,NA,NA,NA,0.091576,0.091576001,FALSE,0.091576
10065,"South East","Abia",102,"Urbain",0,"107-1044",4,3131.96923828125,1,NA,NA,1,5,"location",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10065,"South East","Abia",102,"Urbain",0,"107-1044",4,3131.96923828125,2,NA,NA,2,5,"prêt",0.809372,NA,NA,NA,0.809372,NA,FALSE,0.809372
10066,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,1,NA,1413.6,150,1,"héritage",NA,0.0285,NA,NA,0.0285,0.14136,FALSE,0.0285
10066,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,2,NA,2950.7,200,1,"héritage",NA,0.038,NA,NA,0.038,0.29507,FALSE,0.038
10067,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,1,NA,2693.3,250,1,"héritage",NA,0.0475,NA,NA,0.0475,0.26933,FALSE,0.0475
10067,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,2,NA,899.64001,200,1,"héritage",NA,0.038,NA,NA,0.038,0.089964001,FALSE,0.038
10067,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,4,NA,226.19,150,3,"héritage",NA,NA,NA,0.006,0.006,0.022619,FALSE,0.006
10068,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,1,NA,2270.1001,500,1,"héritage",NA,0.095,NA,NA,0.095,0.22701001,FALSE,0.095
10068,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,2,1607.1,NA,350,1,"héritage",NA,0.0665,NA,NA,0.0665,NA,FALSE,0.0665
10069,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,1,NA,469.88,200,1,"héritage",NA,0.038,NA,NA,0.038,0.046988,FALSE,0.038
10069,"South East","Abia",107,"Rural",1044,"107-1044",4,3131.96923828125,2,NA,1245.5,156,1,"héritage",NA,0.02964,NA,NA,0.02964,0.12455,FALSE,0.02964
10070,"South East","Abia",107,"Rural",0,"107-1044",4,3131.96923828125,1,NA,NA,600,1,"location",NA,0.114,NA,NA,0.114,NA,FALSE,0.114
10070,"South East","Abia",107,"Rural",0,"107-1044",4,3131.96923828125,2,NA,820.28998,550,1,"héritage",NA,0.1045,NA,NA,0.1045,0.082028998,FALSE,0.1045
10070,"South East","Abia",107,"Rural",0,"107-1044",4,3131.96923828125,3,NA,NA,200.98,7,"héritage",0.020098,NA,NA,NA,0.020098,NA,FALSE,0.020098
10071,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,202.34,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.020234,FALSE,0.404686
10071,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,497.39999,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.049739999,FALSE,0.404686
10071,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,3,NA,185.61,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,0.018561,FALSE,0.202343
10071,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,4,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10072,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,380.82999,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,0.038082999,FALSE,0.202343
10072,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,418.98999,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,0.041898999,FALSE,0.202343
10072,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,3,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10073,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,594.21997,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,0.059421997,FALSE,0.202343
10073,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10074,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,449.73999,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,0.044973999,FALSE,0.202343
10074,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10075,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,535.5,300,1,"héritage",NA,0.057,NA,NA,0.057,0.05355,FALSE,0.057
10075,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,514.48,273.10001,200,1,"héritage",NA,0.038,NA,NA,0.038,0.027310001,FALSE,0.038
10075,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,3,NA,NA,785.96,7,"héritage",0.078596,NA,NA,NA,0.078596,NA,FALSE,0.078596
10076,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,219.67,200,1,"héritage",NA,0.038,NA,NA,0.038,0.021967,FALSE,0.038
10076,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,385.39999,250,1,"héritage",NA,0.0475,NA,NA,0.0475,0.038539999,FALSE,0.0475
10076,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,3,NA,NA,564.92,7,"héritage",0.056492,NA,NA,NA,0.056492,NA,FALSE,0.056492
10077,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,327.17001,2500,1,"héritage",NA,0.475,NA,NA,0.475,0.032717001,FALSE,0.475
10077,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,NA,0.5,5,"héritage",0.202343,NA,NA,NA,0.202343,NA,FALSE,0.202343
10078,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,399.78,250,1,"héritage",NA,0.0475,NA,NA,0.0475,0.039978,FALSE,0.0475
10078,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,NA,1,5,"héritage",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10078,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,3,NA,NA,768.6,7,"héritage",0.07686,NA,NA,NA,0.07686,NA,FALSE,0.07686
10079,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,566.37,300,1,"héritage",NA,0.057,NA,NA,0.057,0.056637,FALSE,0.057
10079,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,224.48,270,1,"héritage",NA,0.0513,NA,NA,0.0513,0.022448,FALSE,0.0513
10079,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,3,NA,NA,1,5,"héritage",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10080,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,1,NA,229.38,2000,1,"héritage",NA,0.38,NA,NA,0.38,0.022938,FALSE,0.38
10080,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,2,NA,422.79001,3000,1,"héritage",NA,0.57,NA,NA,0.57,0.042279001,FALSE,0.57
10080,"South East","Abia",117,"Rural",560,"117-560",4,2226.93994140625,3,NA,NA,3500,1,"héritage",NA,0.665,NA,NA,0.665,NA,FALSE,0.665
10091,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,833.37,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.083337,FALSE,0.404686
10091,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,2,NA,2127.6001,2,5,"héritage",0.809372,NA,NA,NA,0.809372,0.21276001,FALSE,0.809372
10091,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,3,NA,NA,1,5,"héritage",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10092,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,631.10999,1,5,"location",0.404686,NA,NA,NA,0.404686,0.063110999,FALSE,0.404686
10092,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,2,NA,603.03998,1,5,"location",0.404686,NA,NA,NA,0.404686,0.060303998,FALSE,0.404686
10092,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,3,NA,NA,1,5,"héritage",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10093,"South South","Akwa Ibom",322,"Rural",0,"105-638",4,1866.33715820312,2,2780.6,NA,800,3,"héritage",NA,NA,NA,0.104,0.104,NA,FALSE,0.104
10093,"South South","Akwa Ibom",322,"Rural",0,"105-638",4,1866.33715820312,3,NA,NA,650,3,"héritage",NA,NA,NA,0.0845,0.0845,NA,FALSE,0.0845
10093,"South South","Akwa Ibom",322,"Rural",0,"105-638",4,1866.33715820312,4,NA,NA,700,3,"héritage",NA,NA,NA,0.091,0.091,NA,FALSE,0.091
10093,"South South","Akwa Ibom",322,"Rural",0,"105-638",4,1866.33715820312,6,NA,1306.4,500,3,"location",NA,NA,NA,0.065,0.065,0.13064,FALSE,0.065
10093,"South South","Akwa Ibom",322,"Rural",0,"105-638",4,1866.33715820312,7,NA,687.96002,600,3,"location",NA,NA,NA,0.078,0.078,0.068796002,FALSE,0.078
10094,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,484.81,2,5,"prêt",0.809372,NA,NA,NA,0.809372,0.048481,FALSE,0.809372
10094,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,2,NA,886.53003,1,5,"prêt",0.404686,NA,NA,NA,0.404686,0.088653003,FALSE,0.404686
10096,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,421.63,270,1,"communautaire",NA,0.0513,NA,NA,0.0513,0.042163,FALSE,0.0513
10096,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,2,NA,274.38,350,1,"communautaire",NA,0.0665,NA,NA,0.0665,0.027438,FALSE,0.0665
10096,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,3,NA,NA,642.18,7,"héritage",0.064218,NA,NA,NA,0.064218,NA,FALSE,0.064218
10097,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,1252.8,350,1,"héritage",NA,0.0665,NA,NA,0.0665,0.12528,FALSE,0.0665
10097,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,2,NA,252.78,450,1,"héritage",NA,0.0855,NA,NA,0.0855,0.025278,FALSE,0.0855
10097,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,3,NA,318.94,400,1,"héritage",NA,0.076,NA,NA,0.076,0.031894,FALSE,0.076
10097,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,4,NA,NA,1,5,"propriété pleine",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10098,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,NA,1,5,"héritage",0.404686,NA,NA,NA,0.404686,NA,FALSE,0.404686
10099,"South East","Abia",105,"Rural",638,"105-638",4,1866.33715820312,1,NA,330.14001,1,5,"héritage",0.404686,NA,NA,NA,0.404686,0.033014001,FALSE,0.404686
