"**Variable**","**N**","**Overall**  
N = 164 848 326","**Urbain**  
N = 45 081 762","**Rural**  
N = 119 766 564","**p-value**"
"__Sexe__","164 848 326",NA,NA,NA,"0,8"
"_Homme_",NA,"81 938 346 (49,7%)","22 480 517 (49,9%)","59 457 828 (49,6%)",NA
"_Femme_",NA,"82 909 980 (50,3%)","22 601 245 (50,1%)","60 308 735 (50,4%)",NA
"__Âge (années)__","164 848 326","23,6","24,9","23,1","0,007"
"__Taille du ménage__","164 848 326","7,5","6,5","7,9","0,003"
