"harvest_s1q3","prop","prop_inf","prop_sup","n"
"Chef de ménage",0.188542179100457,0.1799888680643,0.197404105224387,4958
"Conjoint(e)",0.163251203748618,0.157503332856839,0.169166717091432,4207
"Enfant",0.555660654502012,0.543590554841621,0.567665423277182,14083
"Autres apparentés",0.0301000825809861,0.0254132574472756,0.035619681455701,716
"Petit-enfant",0.0312270677696864,0.0258250802863792,0.0377152747387733,927
"Frère/Sœur",0.0187460667529231,0.0145224743264325,0.0241678885460968,460
"Père/Mère",0.0107407082546546,0.00893949594256148,0.0129001214747186,280
"Autres non apparentés",0.00173203736144826,0.00111196762849537,0.00269694481338766,45
