"sexe","prop","ic_low","ic_high","prop_label"
"Homme",0.0815297824053846,0.0728425851690511,0.0902169796417181,"8.2%"
"Femme",0.0915626907340825,0.0831933516716563,0.0999320297965086,"9.2%"
