"age_group","prop","ic_low","ic_high","prop_label"
"0-14 ans",0.0742946933979672,0.0648515893175834,0.083737797478351,"7.4%"
"15-30 ans",0.0719765469001255,0.0619564374047722,0.0819966563954787,"7.2%"
"31-45 ans",0.0904517358271344,0.0765422402806605,0.104361231373608,"9%"
"46-60 ans",0.128161433634686,0.108695628240173,0.1476272390292,"12.8%"
"61 ans et plus",0.215550831778151,0.181230554681385,0.249871108874917,"21.6%"
