"milieu","n","mean","median","sd","Q1","Q3","min","max"
"Rural",2356,7593.58064516129,2325,23259.2095945621,900,6000,0,645000
"Urbain",953,9318.49947534103,2930,28945.6546998399,1050,6400,0,507800
