"groupe_age","n","moyenne","mediane","ecart_type"
"18-30",3885,3.5971685971686,4,1.18939798775135
"31-45",3149,3.27659574468085,4,1.34939455414812
"46-60",1858,3.05274488697524,2,1.41703441666235
"60+",833,2.58943577430972,2,1.37087976858679
NA,620,3.44516129032258,4,1.01454326439671
