"niveau_educ","n","proportion"
"Aucun",637,3.30548492553578
"Primaire",8293,43.0335737636864
"Junior Secondary",6700,34.7672668776919
"Senior Secondary",499,2.58938301074153
"Tertiaire",3142,16.3042914223445
