"age_group","factor(niveau_educ)Aucun","factor(niveau_educ)Primaire","factor(niveau_educ)Junior Secondary","factor(niveau_educ)Senior Secondary","factor(niveau_educ)Tertiaire","se.factor(niveau_educ)Aucun","se.factor(niveau_educ)Primaire","se.factor(niveau_educ)Junior Secondary","se.factor(niveau_educ)Senior Secondary","se.factor(niveau_educ)Tertiaire"
"18-30 ans",0.00556114309497486,0.147118643169061,0.0882693878115899,0.4921321294175,0.266918696506874,0.00156671169550597,0.00833158639864175,0.00651674662966476,0.0123977713643802,0.0118593666465591
"31-45 ans",0.00835212053271126,0.254715736153383,0.0791598341395393,0.318054499232856,0.339717809941511,0.0025517502265704,0.011805277889742,0.00676982386380734,0.0133756189856517,0.0140055301309368
"46-60 ans",0.00445138953695172,0.364755688965648,0.0393424445847112,0.208637542901216,0.382812934011473,0.00233302421024632,0.0161108017202094,0.00556100092014364,0.0133139798700898,0.017434755151313
"61 ans et plus",0.00590093193001391,0.553112975658557,0.0111524634205384,0.0860522240105482,0.343781404980343,0.00260167712249872,0.0270208630792911,0.00394225589307923,0.0132249990435267,0.0255876628082228
