"hhid","nb_parcelles","superf_totale_ha","superf_moy_ha","wt_wave4","milieu","state"
19187,1,0.13401,0.13401,400,"Rural",1
19188,1,0.51631,0.51631,400,"Rural",1
19194,1,0.15916,0.15916,456.798797607422,"Rural",1
19214,2,0.231368,0.115684,3425.80493164062,"Urbain",1
19231,1,0.081967,0.081967,2645.09692382812,"Rural",1
19232,1,0.093888,0.093888,2645.09692382812,"Rural",1
19235,1,0.057286,0.057286,2645.09692382812,"Rural",1
19239,1,0.082799,0.082799,2645.09692382812,"Rural",1
19254,1,0.068858,0.068858,5029.37158203125,"Rural",1
19280,1,0.009927,0.009927,2645.09692382812,"Rural",1
20001,2,1.6613,0.83065,2253.91088867188,"Rural",2
20002,2,3.0166,1.5083,2253.91088867188,"Rural",2
20005,3,1.41777,0.47259,2253.91088867188,"Rural",2
20006,2,0.76744,0.38372,2253.91088867188,"Rural",2
20007,2,0.73567,0.367835,2253.91088867188,"Rural",2
20008,3,1.05919,0.353063333333333,2253.91088867188,"Rural",2
20009,1,0.5641,0.5641,2253.91088867188,"Rural",34
20010,1,1.4235,1.4235,2253.91088867188,"Rural",2
20042,2,0.6941,0.34705,1473.34387207031,"Rural",2
20043,1,0.80165,0.80165,1473.34387207031,"Rural",2
20044,2,0.25254,0.12627,1473.34387207031,"Rural",2
20045,2,0.89406,0.44703,1473.34387207031,"Rural",2
20046,3,0.545238,0.181746,1473.34387207031,"Rural",2
20047,2,1.75017,0.875085,1473.34387207031,"Rural",2
20048,2,0.99387,0.496935,1473.34387207031,"Rural",2
20049,2,1.70429,0.852145,1473.34387207031,"Rural",2
20050,1,0.4569,0.4569,1473.34387207031,"Rural",2
20064,2,0.29914,0.14957,2485.0859375,"Rural",2
20070,2,0.36208,0.18104,2485.0859375,"Rural",2
20091,2,4.6416,2.3208,1106.5712890625,"Rural",2
20093,1,0.41864,0.41864,1106.5712890625,"Rural",2
20095,1,0.21242,0.21242,1106.5712890625,"Rural",2
20096,1,0.47511,0.47511,1106.5712890625,"Rural",2
20097,1,0.43093,0.43093,1106.5712890625,"Rural",2
20098,2,3.55319,1.776595,1106.5712890625,"Rural",2
20101,2,1.51693,0.758465,1822.60461425781,"Rural",2
20103,4,0.546264,0.136566,1822.60461425781,"Rural",2
20104,3,0.38452,0.128173333333333,1822.60461425781,"Rural",2
20106,3,2.49816,0.83272,1822.60461425781,"Rural",2
20108,1,0.099718,0.099718,1822.60461425781,"Rural",2
20110,2,0.87048,0.43524,1822.60461425781,"Rural",2
29001,2,1.0007,0.50035,4149.94140625,"Rural",2
29002,1,2.9852,2.9852,4149.94140625,"Rural",2
29003,2,0.94879,0.474395,4149.94140625,"Rural",2
29004,2,2.7164,1.3582,4149.94140625,"Rural",2
29005,1,0.38059,0.38059,4149.94140625,"Rural",2
29006,3,3.43702,1.14567333333333,4149.94140625,"Rural",2
29007,2,0.47498,0.23749,4149.94140625,"Rural",2
29008,2,3.03969,1.519845,4149.94140625,"Rural",2
29009,1,0.56239,0.56239,4149.94140625,"Rural",2
29010,1,4.2009,4.2009,4149.94140625,"Rural",2
29013,2,0.68486,0.34243,1407.2490234375,"Rural",2
29014,2,1.43528,0.71764,1407.2490234375,"Rural",2
29018,2,0.85258,0.42629,1407.2490234375,"Rural",2
29019,2,0.58618,0.29309,1407.2490234375,"Rural",2
29020,3,0.86166,0.28722,1407.2490234375,"Rural",2
29021,4,5.34268,1.33567,1407.2490234375,"Rural",2
29022,4,2.36621,0.5915525,1407.2490234375,"Rural",2
29023,3,9.6573,3.2191,1407.2490234375,"Rural",2
29024,2,2.90862,1.45431,1407.2490234375,"Rural",2
29029,1,0.14023,0.14023,794.480407714844,"Rural",2
29033,1,0.041683,0.041683,794.480407714844,"Rural",2
29036,1,0.54703,0.54703,794.480407714844,"Rural",2
29037,1,1.1504,1.1504,3840.7978515625,"Rural",2
29038,1,0.91614,0.91614,3840.7978515625,"Rural",2
29039,2,1.42635,0.713175,3840.7978515625,"Rural",2
29041,2,2.5902,1.2951,3840.7978515625,"Rural",2
29042,1,1.0661,1.0661,3840.7978515625,"Rural",2
29044,2,1.70067,0.850335,3840.7978515625,"Rural",2
29045,2,2.1655,1.08275,3840.7978515625,"Rural",2
29046,3,0.851383,0.283794333333333,3840.7978515625,"Rural",2
29047,4,8.5958,2.14895,3840.7978515625,"Rural",2
29048,3,2.459,0.819666666666667,3840.7978515625,"Rural",2
29050,3,3.3519,1.1173,890.635192871094,"Rural",2
29051,2,0.55216,0.27608,890.635192871094,"Rural",2
29052,2,1.74706,0.87353,890.635192871094,"Rural",2
29053,2,1.97202,0.98601,890.635192871094,"Rural",2
29054,2,0.62543,0.312715,890.635192871094,"Rural",2
29055,2,1.08542,0.54271,890.635192871094,"Rural",2
29056,2,0.87588,0.43794,890.635192871094,"Rural",2
29057,2,1.57938,0.78969,890.635192871094,"Rural",2
29058,2,6.8185,3.40925,890.635192871094,"Rural",2
29060,3,5.2536,1.7512,890.635192871094,"Rural",2
29064,1,0.33734,0.33734,1820.69848632812,"Rural",2
29070,1,0.45132,0.45132,1820.69848632812,"Rural",2
29074,1,2.2942,2.2942,1788.39514160156,"Rural",2
29076,1,0.22347,0.22347,1788.39514160156,"Rural",2
29078,1,0.21351,0.21351,1788.39514160156,"Rural",2
29079,1,0.32152,0.32152,1788.39514160156,"Rural",2
29090,1,0.4536,0.4536,4453.15234375,"Rural",2
29108,1,0.3562,0.3562,1218.99694824219,"Rural",2
29109,2,7.7749,3.88745,1328.25122070312,"Rural",2
29110,1,0.1057,0.1057,1328.25122070312,"Rural",2
29111,2,0.6942,0.3471,1328.25122070312,"Rural",2
29112,2,0.62692,0.31346,1328.25122070312,"Rural",2
29113,1,0.21192,0.21192,1328.25122070312,"Rural",2
29115,2,1.57016,0.78508,1328.25122070312,"Rural",2
29116,3,3.18828,1.06276,1328.25122070312,"Rural",2
29118,2,1.85113,0.925565,1328.25122070312,"Rural",2
29119,2,1.9068,0.9534,1328.25122070312,"Rural",2
29120,2,1.4445,0.72225,1328.25122070312,"Rural",2
29121,2,1.76754,0.88377,640.697570800781,"Rural",2
29122,2,0.8963,0.44815,640.697570800781,"Rural",2
29123,2,1.55233,0.776165,640.697570800781,"Rural",2
29124,3,3.38502,1.12834,640.697570800781,"Rural",2
29126,1,0.33252,0.33252,640.697570800781,"Rural",2
29127,1,1.1893,1.1893,640.697570800781,"Rural",2
29128,2,0.72621,0.363105,640.697570800781,"Rural",2
29130,2,1.85533,0.927665,640.697570800781,"Rural",2
29131,3,4.2058,1.40193333333333,640.697570800781,"Rural",2
29132,4,5.0591,1.264775,640.697570800781,"Rural",2
29135,1,0.21326,0.21326,2224.18920898438,"Urbain",2
29138,1,0.48096,0.48096,2224.18920898438,"Urbain",2
29139,1,0.1111,0.1111,2224.18920898438,"Urbain",2
29144,1,0.069843,0.069843,2224.18920898438,"Urbain",2
29149,1,0.13722,0.13722,1650.10009765625,"Rural",2
29150,1,0.25302,0.25302,1650.10009765625,"Rural",2
29151,1,0.166,0.166,1650.10009765625,"Rural",2
29152,3,0.57592,0.191973333333333,1650.10009765625,"Rural",2
29153,1,0.3621,0.3621,1650.10009765625,"Rural",2
