variable,n_miss,pct_miss
s1q12_4,30323,99.9538517322082
s1q13a_4,30323,99.9538517322082
s1q32,30294,99.85825889178231
s1q33,30294,99.85825889178231
s1q12_3,30239,99.67696212545735
s1q13a_3,30239,99.67696212545735
s1q13c,29851,98.39799584665589
s1q12_2,29721,97.96947621716056
s1q13a_2,29721,97.96947621716056
s1q15,29547,97.39591917460527
s1q16,29547,97.39591917460527
s1q17,28775,94.85117183637144
s1q5b,28555,94.12598477107163
s1q25,28254,93.13379701354782
s1q26,28254,93.13379701354782
s1q27,28254,93.13379701354782
s1q19,27935,92.08227576886311
s1q20,27774,91.55157068925735
s1q21,27774,91.55157068925735
s1q22,27774,91.55157068925735
s1q24,27447,90.47367900583446
s1q31b,27412,90.35830833635494
s1q31d,26846,88.4925997956291
s1q31,26846,88.4925997956291
s1q30,26803,88.35085868741142
s1q29,26801,88.34426607772686
s1q28,26560,87.54985661073937
s1q18,25364,83.60747601938228
s1q23,25364,83.60747601938228
s1q5a,24852,81.9197679401391
s1q6_day,24852,81.9197679401391
s1q6_month,24852,81.9197679401391
s1q6_year,22727,74.9151201503115
s1q13a_1,22259,73.37244948412828
s1q12_1,22257,73.36585687444375
s1q11,21959,72.38355803144675
s1q13b,21959,72.38355803144675
s1q7,12985,42.80251837689949
s1q8c,12500,41.20381052839767
s1q2,3780,12.460032303787454
s1q3,3780,12.460032303787454
s1q4,3780,12.460032303787454
s1q8a,3780,12.460032303787454
s1q8b,3780,12.460032303787454
s1q13,3780,12.460032303787454
s1q4a,790,2.6040808253947323
zone,0,0
state,0,0
lga,0,0
sector,0,0
ea,0,0
hhid,0,0
indiv,0,0
s1q3_os,0,0
s1q16_os,0,0
s1q17_os,0,0
s1q22_oth,0,0
s1q27_os,0,0
s1q28_os,0,0
