hhid,secteur_residence,taille_menage
29044,Rural,7
29045,Rural,12
29046,Rural,6
29047,Rural,15
29048,Rural,10
29050,Rural,6
29051,Rural,4
29052,Rural,7
29053,Rural,9
29054,Rural,4
29055,Rural,4
29056,Rural,6
29057,Rural,8
29058,Rural,8
29060,Rural,4
29061,Rural,3
29062,Rural,5
29063,Rural,6
29064,Rural,6
29065,Rural,4
29066,Rural,5
29068,Rural,6
29070,Rural,6
29071,Rural,8
29072,Rural,4
29073,Rural,12
29074,Rural,9
29076,Rural,4
29077,Rural,3
29078,Rural,5
29079,Rural,2
29080,Rural,14
29082,Rural,12
29083,Rural,8
29084,Rural,1
29085,Rural,4
29086,Rural,13
29087,Rural,18
29089,Rural,14
29090,Rural,4
29091,Rural,16
29092,Rural,10
29094,Rural,11
29095,Rural,2
29096,Rural,9
29097,Rural,2
29099,Rural,6
29100,Rural,1
29101,Rural,7
29102,Rural,6
29103,Rural,6
29104,Rural,13
29105,Rural,5
29107,Rural,1
29108,Rural,13
29109,Rural,7
29110,Rural,1
29111,Rural,4
29112,Rural,9
29113,Rural,3
29115,Rural,5
29116,Rural,7
29118,Rural,4
29119,Rural,6
29120,Rural,5
29121,Rural,5
29122,Rural,5
29123,Rural,4
29124,Rural,11
29126,Rural,4
29127,Rural,5
29128,Rural,5
29130,Rural,5
29131,Rural,6
29132,Rural,10
29133,Urbain,5
29134,Urbain,1
29135,Urbain,6
29136,Urbain,2
29138,Urbain,11
29139,Urbain,6
29140,Urbain,11
29142,Urbain,12
29143,Urbain,9
29144,Urbain,2
29147,Rural,5
29148,Rural,5
29149,Rural,6
29150,Rural,9
29151,Rural,7
29152,Rural,7
29153,Rural,5
29154,Rural,7
29155,Rural,3
29156,Rural,9
29158,Rural,1
29160,Rural,7
29161,Rural,1
29162,Rural,6
29163,Rural,2
29164,Rural,3
29165,Rural,5
29166,Rural,5
29167,Rural,7
29168,Rural,6
29169,Rural,9
29170,Rural,6
29171,Rural,5
29172,Rural,6
29173,Rural,5
29174,Rural,13
29175,Rural,3
29176,Rural,7
29178,Rural,6
29179,Rural,15
29181,Rural,4
29182,Rural,5
29183,Rural,5
29185,Rural,4
29186,Rural,14
29187,Rural,7
29188,Rural,9
29189,Rural,1
29191,Rural,8
29192,Rural,1
29193,Rural,10
29194,Rural,11
29195,Rural,5
29196,Rural,8
29198,Rural,6
29199,Rural,5
29200,Rural,6
29202,Rural,4
29203,Rural,7
29204,Rural,8
29206,Rural,8
29208,Rural,8
29209,Rural,8
29210,Rural,2
29211,Rural,17
29212,Rural,8
29213,Rural,5
29214,Rural,11
29215,Rural,3
29216,Rural,6
29217,Urbain,7
29218,Urbain,11
29219,Urbain,5
29220,Urbain,7
29221,Urbain,10
29223,Urbain,7
29224,Urbain,10
29226,Urbain,3
29227,Urbain,6
29228,Urbain,12
30021,Rural,8
30022,Rural,3
30023,Rural,8
30024,Rural,7
30025,Rural,4
30026,Rural,5
30027,Rural,10
30028,Rural,4
30029,Rural,5
30030,Rural,7
30041,Urbain,1
30042,Urbain,6
30043,Urbain,4
30044,Urbain,5
30045,Urbain,5
30046,Urbain,3
30047,Urbain,3
30048,Urbain,4
30049,Urbain,11
30050,Urbain,2
30081,Rural,7
30084,Rural,5
30085,Rural,5
30086,Rural,6
30087,Rural,2
30088,Rural,8
30089,Rural,7
30090,Rural,2
30091,Rural,8
30092,Urbain,5
30093,Rural,7
30094,Rural,3
30097,Rural,4
30098,Rural,3
30099,Rural,6
30100,Rural,7
30101,Urbain,3
30102,Urbain,2
30103,Urbain,6
30104,Urbain,8
30105,Urbain,7
30106,Urbain,6
30107,Urbain,18
30108,Urbain,5
30109,Urbain,4
30110,Urbain,5
30121,Rural,7
30122,Rural,9
30123,Rural,6
30124,Rural,6
30125,Rural,9
30126,Rural,5
30127,Rural,5
30128,Rural,8
30129,Rural,1
30130,Rural,3
30131,Rural,5
30132,Rural,1
30133,Rural,9
30134,Rural,5
30135,Rural,7
30137,Rural,7
30138,Rural,5
30139,Rural,3
30140,Rural,5
39001,Rural,1
39002,Rural,6
39003,Rural,5
39004,Rural,4
