hhid,secteur_residence,taille_menage
109030,Rural,5
109031,Rural,1
109032,Rural,8
109033,Rural,6
109034,Rural,1
109035,Rural,4
109037,Urbain,1
109038,Urbain,6
109040,Urbain,2
109041,Urbain,7
109042,Urbain,1
109043,Urbain,1
109046,Urbain,5
109047,Urbain,5
109048,Rural,3
109049,Rural,4
109052,Rural,9
109053,Rural,6
109054,Urbain,1
109055,Rural,6
109056,Rural,4
109057,Rural,8
109058,Rural,4
109059,Rural,4
109060,Rural,4
109061,Rural,6
109062,Rural,9
109064,Rural,9
109065,Rural,1
109066,Rural,6
109067,Rural,4
109068,Rural,7
109069,Rural,4
109071,Rural,6
109073,Rural,2
109074,Rural,1
109076,Rural,3
109077,Rural,1
109078,Rural,2
109080,Rural,7
109081,Rural,7
109082,Rural,6
109083,Rural,6
109085,Rural,5
109086,Rural,2
109087,Rural,3
109088,Rural,5
109089,Rural,2
109091,Rural,4
109092,Rural,2
109093,Rural,6
109095,Rural,6
109096,Rural,1
109099,Rural,3
109100,Rural,5
109101,Rural,4
109103,Rural,2
109104,Rural,4
109106,Rural,3
109107,Rural,3
109108,Rural,8
109110,Rural,4
109111,Rural,1
109112,Rural,4
109114,Rural,6
109115,Rural,6
109117,Rural,7
109118,Rural,5
109119,Rural,9
109121,Urbain,7
109122,Urbain,6
109123,Urbain,8
109124,Urbain,4
109126,Urbain,4
109127,Urbain,6
109128,Urbain,3
109129,Urbain,6
109130,Urbain,2
109131,Urbain,1
109132,Urbain,3
109133,Urbain,6
109134,Urbain,6
109135,Urbain,3
109136,Urbain,5
109137,Urbain,4
109139,Urbain,5
109141,Urbain,3
109142,Urbain,5
109145,Rural,2
109147,Rural,3
109148,Rural,3
109149,Rural,1
109150,Rural,5
109151,Rural,9
109152,Rural,1
109153,Rural,3
109154,Rural,5
109155,Rural,1
109156,Urbain,8
109157,Urbain,1
109166,Rural,1
109169,Rural,10
109170,Rural,5
109171,Rural,2
109173,Rural,5
109176,Urbain,4
110001,Urbain,1
110002,Urbain,7
110003,Urbain,2
110004,Urbain,1
110005,Urbain,4
110006,Urbain,3
110007,Urbain,7
110008,Urbain,1
110009,Urbain,10
110010,Urbain,6
110021,Rural,7
110022,Rural,9
110023,Rural,2
110024,Rural,6
110025,Rural,6
110026,Rural,2
110027,Rural,7
110028,Rural,7
110029,Rural,5
110030,Rural,8
110081,Rural,7
110082,Rural,9
110083,Rural,17
110084,Rural,4
110085,Rural,29
110086,Rural,14
110087,Rural,9
110088,Rural,4
110089,Rural,10
110090,Rural,10
110111,Rural,5
110112,Rural,4
110113,Rural,1
110114,Rural,2
110115,Rural,3
110116,Rural,2
110117,Rural,11
110118,Rural,4
110119,Rural,5
110120,Rural,7
110121,Rural,2
110122,Rural,6
110123,Rural,10
110124,Rural,7
110125,Rural,1
110126,Rural,10
110127,Rural,3
110128,Rural,7
110129,Rural,12
110130,Rural,8
110131,Rural,3
110132,Rural,2
110133,Rural,2
110134,Rural,9
110135,Rural,2
110136,Rural,2
110137,Rural,5
110138,Rural,12
110139,Rural,5
110140,Rural,6
119001,Rural,6
119002,Rural,5
119003,Rural,5
119005,Rural,7
119006,Rural,4
119008,Rural,2
119009,Rural,2
119010,Rural,5
119011,Rural,7
119012,Rural,4
119013,Rural,9
119014,Rural,7
119015,Rural,9
119016,Rural,2
119017,Rural,5
119019,Rural,6
119020,Rural,1
119021,Rural,4
119022,Rural,5
119023,Rural,2
119025,Rural,6
119026,Rural,5
119027,Rural,4
119028,Rural,6
119029,Rural,5
119030,Rural,12
119031,Rural,6
119032,Rural,6
119033,Rural,2
119034,Rural,7
119035,Rural,2
119036,Rural,1
119037,Rural,2
119038,Rural,4
119040,Rural,2
119041,Rural,4
119043,Rural,1
119044,Rural,2
119045,Rural,8
119046,Rural,2
119047,Rural,10
119048,Rural,1
119049,Rural,8
119050,Rural,3
119052,Rural,5
119053,Rural,5
119054,Rural,6
119055,Rural,2
119057,Rural,4
119058,Rural,4
120001,Urbain,6
120002,Urbain,8
120003,Urbain,6
120004,Urbain,7
120005,Urbain,6
120006,Urbain,6
120007,Urbain,5
120008,Urbain,9
120010,Urbain,15
120041,Rural,9
120042,Rural,9
120043,Rural,6
120044,Rural,5
120045,Rural,7
120046,Rural,9
120047,Rural,3
120048,Rural,2
120049,Rural,4
120050,Rural,5
120051,Rural,11
120052,Rural,4
120053,Rural,5
120054,Rural,20
120055,Rural,6
120056,Rural,16
120057,Rural,4
120058,Rural,14
120059,Rural,9
120060,Rural,8
120091,Rural,3
120092,Urbain,1
120093,Rural,4
120094,Rural,4
120099,Rural,3
120100,Rural,7
129001,Rural,10
129002,Rural,2
129003,Rural,3
129005,Rural,1
129006,Rural,5
129007,Rural,5
129009,Rural,2
129010,Rural,8
129011,Rural,2
129012,Rural,3
129013,Urbain,3
129014,Urbain,3
129015,Urbain,2
129016,Urbain,5
129017,Urbain,6
129020,Urbain,6
129021,Urbain,3
129022,Urbain,3
129023,Urbain,4
129024,Urbain,1
129025,Urbain,8
129026,Urbain,2
129027,Urbain,5
129028,Urbain,9
129029,Urbain,6
129030,Urbain,8
129031,Urbain,12
129032,Urbain,7
129033,Urbain,6
129034,Urbain,3
129038,Rural,9
129039,Rural,4
129040,Rural,10
129041,Rural,7
129042,Rural,3
129043,Rural,1
129044,Rural,7
129046,Rural,8
129047,Rural,4
129048,Rural,8
129050,Rural,5
129051,Rural,11
129052,Rural,3
129053,Rural,3
129054,Rural,17
129055,Rural,6
129056,Rural,1
129057,Rural,2
129059,Rural,1
129060,Rural,10
129061,Urbain,5
129062,Urbain,4
129063,Urbain,1
129064,Urbain,6
129067,Urbain,4
129068,Urbain,6
129069,Urbain,1
129070,Urbain,4
129072,Urbain,4
129073,Urbain,6
129074,Urbain,1
129076,Urbain,4
129077,Urbain,4
129079,Urbain,3
129080,Urbain,7
129081,Urbain,2
129083,Urbain,5
129084,Urbain,10
129086,Urbain,4
129087,Urbain,4
129088,Urbain,3
129089,Urbain,5
129090,Urbain,4
129091,Urbain,2
129092,Urbain,5
129094,Urbain,4
129095,Urbain,2
129096,Urbain,3
129098,Urbain,5
129099,Urbain,4
129101,Urbain,7
129104,Urbain,11
129105,Urbain,7
129106,Urbain,4
129108,Urbain,3
129109,Urbain,1
129110,Urbain,2
129111,Urbain,4
129112,Urbain,5
129113,Urbain,2
129114,Urbain,5
129116,Urbain,3
129117,Urbain,5
129120,Urbain,4
129122,Rural,5
129123,Rural,4
129124,Rural,4
129125,Rural,2
129127,Rural,4
129128,Rural,5
129129,Rural,7
129130,Rural,5
129131,Rural,2
129132,Rural,1
129134,Urbain,4
129135,Urbain,1
129136,Urbain,3
129137,Urbain,3
129139,Urbain,3
129140,Urbain,5
129141,Urbain,3
129142,Urbain,3
129143,Urbain,8
129145,Urbain,6
129146,Urbain,1
129147,Urbain,7
129148,Urbain,2
129152,Urbain,5
129153,Urbain,4
129154,Urbain,5
129155,Urbain,2
129156,Urbain,4
129168,Urbain,6
129170,Urbain,9
129173,Urbain,4
129174,Urbain,5
129176,Urbain,3
129180,Urbain,4
129182,Urbain,5
130021,Urbain,6
130023,Rural,5
130025,Urbain,7
130026,Urbain,6
130027,Urbain,5
130029,Urbain,4
130030,Urbain,1
130032,Urbain,4
130033,Urbain,3
130034,Urbain,4
130035,Urbain,3
130036,Urbain,3
130038,Urbain,1
130039,Urbain,4
130040,Urbain,2
130051,Rural,2
130052,Rural,5
130053,Rural,1
130054,Rural,1
130055,Rural,2
130056,Rural,4
130057,Rural,4
130059,Urbain,7
130060,Rural,4
139002,Urbain,4
139003,Urbain,1
139004,Urbain,2
139005,Urbain,3
139007,Urbain,1
139008,Urbain,4
139009,Urbain,1
139010,Urbain,4
139011,Urbain,6
139012,Urbain,4
139013,Urbain,9
139015,Urbain,7
139016,Urbain,3
139018,Urbain,2
139020,Urbain,5
139021,Urbain,1
139022,Urbain,2
139023,Urbain,2
139024,Urbain,4
139025,Urbain,3
139026,Urbain,6
139027,Urbain,1
139029,Urbain,1
139030,Urbain,3
139031,Urbain,4
139032,Urbain,2
139033,Urbain,6
139034,Urbain,6
139035,Urbain,5
139036,Urbain,5
139037,Urbain,5
139038,Urbain,5
139039,Urbain,1
139041,Urbain,5
139042,Urbain,1
139043,Urbain,5
139044,Urbain,5
139046,Urbain,7
139047,Urbain,5
139048,Urbain,1
139049,Urbain,1
139050,Urbain,5
139052,Urbain,5
139053,Urbain,1
139054,Urbain,4
139055,Urbain,5
139057,Urbain,1
139058,Urbain,6
139059,Urbain,3
139061,Urbain,3
139062,Urbain,5
139063,Urbain,4
139064,Urbain,1
139065,Urbain,1
139067,Urbain,3
139068,Urbain,5
139069,Urbain,6
139070,Urbain,5
139071,Urbain,7
139072,Urbain,4
139073,Urbain,7
139074,Urbain,6
139075,Urbain,4
139076,Urbain,1
139078,Urbain,2
139079,Urbain,1
139080,Urbain,4
139082,Urbain,1
139083,Urbain,2
139084,Urbain,6
139085,Urbain,1
139086,Urbain,5
139087,Urbain,1
139089,Urbain,3
139090,Urbain,3
139092,Urbain,3
139093,Urbain,2
139094,Urbain,4
139095,Urbain,6
139096,Urbain,5
139098,Urbain,6
139099,Urbain,11
139102,Urbain,5
139103,Urbain,5
139104,Urbain,2
139105,Urbain,7
139106,Urbain,5
139107,Urbain,5
139108,Urbain,1
139109,Urbain,2
139111,Urbain,1
139112,Urbain,6
139113,Urbain,2
139114,Urbain,3
139115,Urbain,4
139116,Urbain,4
139119,Urbain,6
139120,Urbain,3
139121,Urbain,7
139123,Urbain,4
139124,Urbain,2
139125,Urbain,4
139127,Urbain,3
139128,Urbain,1
139130,Urbain,1
139134,Urbain,4
139144,Urbain,4
139145,Urbain,3
139146,Urbain,3
139148,Urbain,4
139149,Urbain,4
139150,Urbain,2
139151,Urbain,2
139152,Urbain,2
139153,Urbain,2
139155,Urbain,3
139156,Urbain,3
140001,Rural,2
140003,Rural,5
140004,Rural,3
140006,Rural,2
140007,Rural,7
140008,Urbain,3
140009,Rural,4
140010,Rural,3
140021,Rural,3
140022,Rural,3
140023,Rural,9
140024,Rural,1
140025,Rural,7
140026,Rural,4
140027,Rural,8
140030,Rural,8
140062,Rural,4
140063,Rural,4
140065,Rural,6
140066,Rural,1
140067,Rural,3
140068,Rural,2
140069,Rural,7
140070,Rural,1
140072,Rural,3
140073,Rural,1
140074,Rural,1
140075,Rural,1
140076,Rural,4
140078,Rural,5
140079,Rural,7
140080,Rural,6
140082,Rural,1
140083,Rural,1
140084,Rural,10
140085,Rural,7
140086,Rural,1
140087,Rural,4
140089,Rural,4
140090,Rural,7
140121,Rural,2
140122,Rural,2
140123,Rural,1
140124,Rural,5
140125,Rural,1
140126,Rural,1
140127,Rural,6
140128,Rural,1
140129,Rural,4
140130,Rural,10
149001,Rural,4
149002,Rural,2
149003,Rural,1
149004,Rural,1
149005,Rural,1
149006,Rural,2
149007,Rural,2
149008,Rural,6
149011,Rural,5
149012,Rural,1
149013,Rural,5
149015,Rural,8
149016,Rural,6
149017,Rural,7
149018,Rural,1
149019,Rural,5
149020,Rural,3
149021,Rural,5
149022,Rural,5
149023,Rural,5
149025,Rural,1
149026,Rural,2
149028,Rural,3
149029,Rural,1
149030,Rural,3
149031,Rural,3
149032,Rural,10
149033,Rural,2
149034,Rural,2
149036,Rural,1
149037,Urbain,4
149038,Urbain,10
149039,Urbain,2
149040,Urbain,2
149041,Urbain,3
149044,Urbain,6
149045,Urbain,7
149046,Urbain,6
149047,Urbain,6
149048,Urbain,7
149049,Rural,6
149051,Rural,2
149052,Rural,1
149053,Rural,5
149054,Rural,3
149055,Rural,5
149056,Rural,3
149057,Rural,2
149059,Rural,6
149060,Rural,9
149061,Urbain,5
149062,Urbain,5
149063,Urbain,2
149065,Urbain,2
149067,Urbain,5
149068,Urbain,7
149070,Urbain,7
149072,Urbain,6
149074,Urbain,7
149076,Urbain,5
149077,Urbain,4
149078,Urbain,3
149079,Urbain,8
149080,Urbain,1
149082,Urbain,4
149083,Urbain,5
149085,Rural,5
149086,Rural,3
149087,Rural,3
149088,Rural,6
149089,Rural,3
149090,Rural,6
149091,Rural,4
149093,Rural,1
149094,Rural,6
149096,Rural,6
149097,Rural,1
149098,Rural,1
149099,Rural,3
149101,Rural,2
149102,Rural,6
149103,Rural,1
149104,Rural,1
149105,Rural,2
149107,Rural,1
149108,Rural,1
149109,Rural,3
149110,Rural,4
149111,Rural,2
149112,Rural,1
149114,Rural,4
149115,Rural,2
149116,Rural,2
149119,Rural,6
149120,Rural,5
149122,Rural,2
149123,Rural,6
149125,Rural,3
149126,Rural,2
149127,Rural,4
149128,Rural,2
149129,Rural,8
149130,Rural,6
149132,Rural,6
149133,Rural,4
149134,Rural,5
149135,Rural,4
149136,Rural,7
149138,Rural,4
149139,Rural,5
149140,Rural,2
149142,Rural,2
149143,Rural,4
149155,Urbain,1
149156,Urbain,5
149162,Rural,6
150001,Urbain,5
150002,Urbain,7
150003,Urbain,18
150004,Urbain,10
150005,Urbain,1
150006,Urbain,1
150007,Urbain,12
150008,Urbain,7
150010,Urbain,1
150012,Rural,9
150013,Rural,8
150014,Rural,7
150015,Rural,5
150016,Rural,9
150017,Rural,7
150018,Rural,5
150019,Rural,2
150020,Rural,6
150021,Rural,10
150022,Rural,8
150023,Rural,8
150024,Rural,5
150025,Rural,10
150026,Rural,6
150027,Rural,7
150028,Rural,7
150029,Rural,9
150030,Rural,5
150061,Rural,1
150062,Rural,12
150063,Rural,6
150064,Rural,10
150065,Rural,9
150066,Rural,5
150067,Rural,4
150068,Rural,7
150069,Rural,5
150070,Rural,1
150071,Urbain,6
150072,Rural,7
150073,Urbain,7
150075,Urbain,4
150076,Urbain,5
150077,Urbain,5
150078,Urbain,7
150079,Rural,14
150080,Urbain,11
159001,Rural,8
159002,Rural,11
159003,Rural,8
159004,Rural,5
159005,Rural,4
159006,Rural,10
159007,Rural,1
159010,Rural,9
159011,Rural,2
159012,Rural,3
159013,Rural,8
159014,Rural,4
159015,Rural,1
159016,Rural,10
159017,Rural,8
159018,Rural,7
159019,Rural,6
159021,Rural,8
159022,Rural,8
159023,Rural,9
159025,Rural,9
159026,Rural,5
159027,Rural,5
159028,Rural,4
159029,Rural,3
159032,Rural,6
159033,Rural,4
159034,Rural,10
159035,Rural,2
159036,Urbain,7
159037,Urbain,7
159038,Urbain,8
159039,Urbain,6
159040,Urbain,3
159042,Urbain,15
159043,Urbain,7
159045,Urbain,2
159047,Urbain,8
159048,Urbain,7
159049,Urbain,13
159050,Urbain,7
159051,Urbain,5
159052,Urbain,5
159053,Urbain,10
159055,Urbain,9
159056,Urbain,6
159057,Urbain,7
159059,Urbain,12
159060,Urbain,9
159061,Urbain,5
159062,Urbain,1
159063,Urbain,7
159064,Urbain,9
159065,Urbain,4
159066,Urbain,1
159067,Urbain,10
159068,Urbain,14
159071,Urbain,5
159072,Rural,10
159073,Rural,7
159074,Rural,9
159076,Rural,7
159078,Rural,10
159079,Rural,6
159081,Rural,9
159082,Rural,14
159083,Rural,4
159084,Rural,7
159085,Rural,12
159086,Rural,6
159087,Rural,1
159088,Rural,5
159089,Rural,4
159090,Rural,7
159093,Rural,3
159094,Rural,9
159095,Rural,11
159096,Rural,10
159097,Rural,2
159098,Rural,6
159099,Rural,9
159100,Rural,4
159101,Rural,5
159102,Rural,5
159105,Rural,5
159106,Rural,12
159107,Rural,8
159111,Rural,6
159112,Urbain,19
159119,Rural,6
160001,Rural,6
160002,Rural,3
160003,Rural,4
160004,Rural,5
160005,Rural,10
160006,Rural,4
160007,Rural,4
160008,Rural,4
160009,Rural,4
160010,Rural,6
160017,Urbain,1
160018,Urbain,3
160019,Urbain,3
160024,Urbain,6
160025,Urbain,1
160032,Urbain,5
160035,Urbain,8
160036,Urbain,6
160041,Urbain,4
160051,Rural,3
160053,Rural,3
160054,Rural,3
160055,Rural,6
160056,Rural,6
160057,Rural,8
160058,Rural,6
160059,Rural,2
160060,Rural,6
160144,Rural,2
160145,Rural,4
160146,Rural,2
160147,Rural,6
160148,Rural,1
160149,Rural,2
160150,Rural,3
160151,Rural,4
160152,Rural,1
160153,Rural,2
169001,Rural,4
169002,Rural,5
169003,Rural,2
169004,Rural,5
169007,Rural,8
169008,Rural,4
169009,Rural,2
169010,Rural,1
169011,Rural,3
169012,Rural,3
169013,Rural,1
169014,Rural,3
169016,Rural,2
169017,Rural,1
169018,Rural,1
169020,Rural,1
169021,Rural,11
169022,Rural,6
169024,Rural,5
169026,Rural,6
169027,Rural,2
169028,Rural,6
169029,Rural,1
169030,Rural,4
169032,Rural,1
169033,Rural,3
169035,Rural,8
169036,Rural,10
169038,Rural,3
169040,Rural,2
169041,Rural,4
169042,Rural,1
169043,Rural,6
169044,Rural,3
169045,Rural,3
169046,Rural,6
169047,Rural,2
169048,Rural,2
169049,Rural,4
169050,Rural,3
169051,Rural,4
169054,Rural,2
169056,Rural,2
169057,Rural,3
169058,Rural,4
169059,Rural,2
169060,Rural,4
169061,Rural,8
169063,Rural,3
169065,Rural,2
169066,Rural,3
169067,Rural,4
169068,Rural,2
169069,Rural,1
169070,Rural,3
169071,Rural,1
169072,Rural,6
169073,Rural,4
169075,Rural,3
169076,Rural,3
169077,Rural,1
169078,Rural,2
169079,Rural,5
169080,Rural,4
169083,Rural,4
169084,Rural,2
169085,Rural,1
169088,Rural,7
169089,Rural,2
169091,Rural,5
169092,Rural,4
169094,Rural,4
169095,Rural,8
169096,Rural,9
169097,Rural,5
169099,Rural,4
169101,Rural,4
169103,Rural,6
169104,Rural,3
169105,Rural,3
169106,Rural,1
169107,Rural,4
169108,Rural,1
169109,Rural,3
169111,Rural,2
169112,Rural,3
169113,Rural,7
169114,Rural,4
169115,Rural,4
169116,Rural,6
169117,Rural,6
169119,Rural,2
169120,Rural,2
169121,Rural,3
169122,Rural,1
169124,Rural,7
169125,Rural,10
169126,Rural,1
169127,Rural,1
169128,Rural,5
169129,Rural,4
169130,Rural,6
169131,Rural,3
169133,Rural,5
169134,Rural,2
169136,Rural,4
169137,Rural,5
169138,Rural,5
169139,Rural,2
169141,Rural,4
169142,Rural,6
169144,Rural,3
169145,Rural,5
169147,Rural,7
169148,Rural,1
169149,Rural,6
169150,Rural,6
169153,Rural,4
169154,Rural,4
169155,Rural,1
169156,Rural,1
169160,Rural,1
169166,Rural,4
169170,Rural,2
169171,Rural,3
169172,Rural,5
169179,Rural,2
169181,Rural,6
169202,Rural,5
170041,Rural,9
170042,Rural,6
170043,Rural,6
170044,Rural,8
170045,Rural,1
170046,Rural,10
170047,Rural,7
170048,Rural,17
170049,Rural,11
170050,Rural,7
170081,Rural,9
170082,Rural,7
170083,Rural,7
170084,Rural,1
170085,Rural,11
170086,Urbain,7
170087,Rural,10
170088,Rural,13
170089,Rural,7
170090,Rural,6
179001,Rural,9
179002,Rural,7
179003,Rural,5
179004,Rural,8
179005,Rural,6
179006,Rural,16
179008,Rural,12
179010,Rural,4
179011,Rural,9
179012,Rural,10
179013,Rural,8
179015,Rural,3
179017,Rural,9
179018,Rural,3
179019,Rural,20
179020,Rural,5
179021,Rural,8
179022,Rural,4
179023,Rural,2
179024,Rural,19
179025,Rural,8
179026,Rural,10
179028,Rural,6
179030,Rural,7
179031,Rural,11
179032,Rural,1
179033,Rural,13
179034,Rural,4
179035,Rural,8
179036,Rural,7
179037,Rural,5
179039,Rural,5
179041,Rural,8
179042,Rural,4
179043,Rural,7
179044,Rural,7
179045,Rural,11
179046,Rural,6
179047,Rural,2
179048,Rural,4
179049,Rural,10
179050,Rural,3
179052,Rural,9
179053,Rural,8
179054,Rural,5
179055,Rural,11
179056,Rural,4
179058,Rural,4
179059,Rural,15
179060,Rural,3
179061,Rural,20
179062,Urbain,2
179063,Rural,8
179064,Rural,9
179065,Rural,3
179067,Rural,9
179068,Rural,7
179069,Rural,2
179070,Rural,2
179072,Rural,3
179073,Urbain,18
179074,Urbain,5
179075,Urbain,6
179076,Urbain,15
179077,Urbain,21
179079,Urbain,12
179080,Rural,9
179081,Urbain,14
179082,Urbain,9
179084,Urbain,5
179085,Urbain,12
179086,Urbain,14
179087,Urbain,4
179089,Urbain,4
179091,Urbain,16
179092,Urbain,17
179093,Urbain,6
179095,Urbain,4
179096,Urbain,4
179097,Rural,7
179098,Rural,4
179100,Rural,11
179101,Rural,7
179102,Rural,5
179103,Rural,6
179104,Rural,1
179105,Rural,6
179106,Rural,6
179108,Rural,2
179124,Urbain,3
180001,Urbain,7
180003,Urbain,4
180004,Urbain,8
180005,Urbain,7
180006,Urbain,4
180007,Urbain,1
180008,Urbain,6
180009,Urbain,10
180031,Rural,8
180032,Rural,11
180033,Rural,11
180034,Rural,13
180035,Rural,7
180036,Rural,14
180037,Rural,6
180038,Rural,11
180039,Rural,2
180040,Rural,19
180041,Urbain,8
180042,Urbain,7
180043,Urbain,8
180044,Urbain,4
180045,Urbain,5
180046,Urbain,5
180047,Urbain,11
180049,Urbain,9
180050,Urbain,8
180091,Rural,6
180092,Rural,5
180093,Rural,2
180094,Rural,6
180095,Rural,5
180096,Rural,1
180097,Rural,10
180098,Rural,8
180099,Rural,8
180100,Rural,4
189003,Rural,8
189005,Rural,3
189006,Rural,4
189007,Rural,6
189008,Rural,1
189009,Rural,5
189010,Rural,10
189011,Rural,3
189012,Rural,5
189014,Rural,6
189015,Rural,4
189016,Rural,6
189017,Rural,8
189018,Rural,12
189019,Rural,7
189020,Rural,7
189021,Rural,8
189023,Rural,16
189024,Rural,5
189025,Urbain,7
189028,Urbain,3
189029,Urbain,4
189031,Urbain,6
189032,Urbain,7
189033,Urbain,7
189034,Urbain,5
189035,Urbain,4
189036,Urbain,3
189037,Rural,4
189038,Rural,11
189039,Rural,5
189040,Rural,14
189041,Rural,3
189042,Rural,3
189043,Rural,7
189045,Rural,10
189047,Rural,5
189048,Rural,13
189049,Rural,7
189051,Rural,4
189052,Rural,5
189053,Rural,13
189054,Rural,7
189055,Rural,4
189056,Rural,3
189057,Rural,6
189058,Rural,6
189060,Rural,7
189062,Rural,12
189064,Rural,9
189065,Rural,5
189066,Rural,4
189067,Rural,7
189068,Rural,6
189069,Rural,11
189070,Rural,12
189071,Rural,4
189072,Rural,8
189073,Urbain,3
189074,Urbain,3
189075,Rural,5
189076,Urbain,8
189077,Urbain,6
189078,Urbain,5
189079,Urbain,6
189080,Urbain,4
189081,Urbain,8
189082,Urbain,3
189085,Urbain,5
189086,Urbain,4
189087,Urbain,8
189089,Urbain,4
189090,Urbain,4
189091,Urbain,8
189093,Urbain,10
189094,Urbain,8
189095,Urbain,6
189096,Urbain,6
189097,Urbain,8
189099,Urbain,3
189100,Urbain,8
189101,Urbain,7
189102,Urbain,10
189103,Urbain,2
189104,Urbain,5
189105,Urbain,3
189106,Urbain,8
189108,Urbain,8
189109,Rural,8
189110,Rural,6
189112,Rural,6
189116,Rural,2
189117,Rural,8
189118,Rural,6
189119,Rural,3
189120,Rural,4
189121,Rural,7
189122,Rural,6
189125,Rural,3
189126,Rural,12
189127,Rural,12
189128,Rural,4
189129,Rural,6
189130,Rural,7
189131,Rural,6
189132,Rural,6
189133,Rural,14
189134,Rural,6
189136,Rural,3
189137,Rural,8
189139,Rural,3
189140,Rural,3
189141,Rural,9
189142,Rural,4
189143,Rural,8
189144,Rural,6
189147,Rural,5
189148,Rural,10
189149,Rural,6
189150,Rural,16
189151,Rural,29
189152,Rural,10
189154,Rural,7
189155,Rural,9
189156,Rural,7
189157,Rural,15
189158,Rural,6
189159,Rural,4
189160,Rural,6
189161,Rural,3
189162,Rural,4
189164,Rural,7
189165,Rural,5
189167,Rural,7
189168,Rural,1
189169,Rural,13
189170,Rural,4
189171,Rural,2
189173,Rural,7
189174,Rural,4
189175,Rural,6
189176,Rural,4
189178,Rural,9
189179,Rural,3
189180,Rural,12
189181,Urbain,8
189183,Urbain,10
189184,Urbain,10
189185,Urbain,6
189186,Urbain,5
189187,Urbain,7
189188,Urbain,6
189189,Urbain,6
189191,Urbain,5
189192,Urbain,5
189193,Rural,8
189194,Rural,13
189195,Rural,8
189196,Rural,9
189197,Rural,7
189199,Rural,8
189200,Rural,6
189202,Rural,11
189203,Rural,4
189204,Rural,11
189205,Rural,5
189206,Rural,4
189207,Urbain,4
189209,Rural,3
189210,Rural,4
189212,Rural,9
189213,Rural,3
189214,Rural,6
189216,Rural,5
189218,Rural,5
189222,Urbain,6
189235,Rural,7
189236,Rural,8
189242,Rural,16
189252,Rural,7
190011,Urbain,5
190012,Urbain,8
190013,Urbain,5
190014,Urbain,21
190015,Rural,6
190016,Rural,5
190017,Urbain,6
190018,Urbain,10
190019,Urbain,7
190020,Urbain,8
190081,Rural,12
190082,Rural,8
190083,Rural,8
190084,Rural,10
190085,Rural,7
190086,Rural,7
190087,Rural,5
190088,Rural,6
190089,Rural,7
190090,Rural,11
190111,Urbain,10
190112,Urbain,14
190113,Urbain,13
190114,Urbain,18
190115,Urbain,13
190116,Urbain,13
190117,Urbain,5
190118,Urbain,13
190119,Urbain,10
190131,Rural,5
190132,Rural,8
190133,Rural,11
190134,Rural,12
190135,Rural,3
190136,Rural,11
190137,Rural,4
190138,Rural,6
190139,Rural,10
190140,Rural,2
190161,Rural,7
190162,Rural,4
190163,Rural,5
190164,Rural,4
190165,Rural,7
190166,Rural,6
190167,Rural,5
190168,Rural,5
190169,Rural,6
190170,Rural,11
190171,Rural,10
190172,Rural,9
190173,Rural,10
190174,Rural,2
190175,Rural,8
190176,Rural,7
190177,Rural,9
190178,Rural,9
190179,Rural,6
190180,Rural,9
190192,Rural,13
190193,Rural,5
190194,Rural,8
190195,Rural,10
190196,Rural,10
190197,Rural,11
190198,Rural,6
190199,Rural,7
190200,Rural,7
199001,Rural,14
199002,Rural,8
199004,Rural,9
199005,Rural,11
199006,Rural,9
199007,Rural,14
199008,Rural,6
199011,Rural,2
199012,Rural,6
199013,Rural,7
199014,Rural,14
199015,Rural,4
199016,Rural,6
199018,Rural,9
199019,Rural,5
199021,Rural,3
199022,Rural,3
199023,Rural,3
199024,Rural,2
199025,Rural,19
199026,Rural,8
199027,Rural,12
199030,Rural,9
199031,Rural,4
199032,Rural,6
199033,Rural,13
199034,Rural,9
199035,Rural,8
199036,Rural,3
199037,Rural,6
199038,Rural,7
199040,Rural,7
199041,Rural,5
199042,Rural,5
199044,Rural,12
199045,Rural,4
199046,Rural,6
199047,Rural,21
199048,Rural,8
199051,Rural,7
199052,Rural,3
199053,Rural,12
199054,Rural,2
199055,Rural,12
199056,Rural,3
199057,Rural,7
199058,Rural,5
199059,Rural,7
199060,Rural,5
199061,Rural,6
199062,Rural,6
199064,Rural,4
199065,Rural,10
199066,Rural,8
199067,Rural,20
199068,Rural,4
199069,Rural,5
199071,Rural,12
199072,Rural,8
199073,Rural,6
199074,Rural,8
199075,Rural,3
199077,Rural,8
199078,Rural,6
199079,Rural,4
199080,Rural,8
199081,Rural,2
199082,Rural,5
199083,Rural,4
199085,Rural,5
199086,Rural,7
199087,Rural,10
199088,Rural,8
199090,Rural,2
199091,Rural,4
199092,Rural,5
199093,Rural,11
199094,Rural,8
199095,Rural,9
199097,Rural,11
200011,Rural,7
200013,Rural,3
200014,Rural,7
200015,Rural,3
200016,Rural,7
200020,Rural,3
200071,Rural,7
200072,Rural,11
200074,Rural,3
200075,Rural,3
200076,Rural,4
200077,Rural,5
200078,Rural,3
200079,Rural,4
200101,Rural,6
200102,Rural,9
200103,Rural,6
200104,Rural,16
200105,Rural,15
200106,Rural,11
200107,Rural,5
200108,Rural,11
200109,Rural,9
200110,Rural,10
200161,Rural,4
200162,Rural,6
200164,Urbain,10
200165,Rural,3
200166,Rural,13
200167,Rural,4
200168,Rural,4
200169,Urbain,7
200170,Rural,10
200181,Urbain,4
200182,Urbain,9
