"proportion","erreur_std","cat_instruction","n","etiquette","ic_inf","ic_sup"
0.362583094209834,0.00591205832004525,"Primaire",7067,"36.3%",0.350995459902545,0.374170728517123
0.229621729560408,0.0051047564585898,"Senior Secondary",4607,"23.0%",0.219616406901572,0.239627052219244
0.20326992354298,0.00734569588070836,"Tertiaire",3592,"20.3%",0.188872359616792,0.217667487469169
0.10711800013989,0.00327168041725976,"Junior Secondary",2128,"10.7%",0.100705506522061,0.113530493757719
0.0974072525468872,0.00363755398912702,"Aucun",1860,"9.7%",0.0902776467281982,0.104536858365576
