"milieu_lab","taux","borne_inf","borne_sup","taux_pct","n_obs"
"Rural",0.881864527037218,0.867022295556564,0.896706758517872,"88.2%",5515
"Urbain",0.925493582927262,0.907940603353878,0.943046562500645,"92.5%",2309
