"Culture","Type","N","Pct"
"Maïs","Céréales",2545,24.8
"Sorgho","Céréales",1466,14.3
"Mil/Millet","Céréales",986,9.6
"Niébé/Cowpea","Légumineuses",977,9.5
"Manioc","Tubercules",808,7.9
"Igname blanche","Tubercules",807,7.9
"Arachide","Légumineuses",698,6.8
"Riz","Céréales",584,5.7
"Soja","Légumineuses",268,2.6
"Gombo","Légumes/fruits",239,2.3
"Cult_2190","Légumes/fruits",214,2.1
"Cocoyam","Tubercules",202,2
"Igname d'eau","Tubercules",178,1.7
"Sésame","Cultures rente",170,1.7
"Cult_2142","Légumes/fruits",108,1.1
