"milieu","N","taux_inorg","taux_npk","taux_uree","taux_org","taux_pesticide","taux_herbicide"
"Rural",7273,34.4609460946095,100,100,20.957095709571,12.8987898789879,37.2662266226623
"Urbain",1020,27.6470588235294,100,100,10.1960784313725,14.7058823529412,30.6862745098039
