".y.","group1","group2","effsize","culture_label","n1","n2","magnitude"
"rendement_kgha","Avec engrais","Sans engrais",0.268895338683255,"Maïs",1007,1262,"small"
"rendement_kgha","Avec engrais","Sans engrais",0.0527672909628742,"Mil",458,470,"small"
