"culture_label",".y.","group1","group2","n1","n2","statistic","p","p.signif"
"Maïs","rendement_kgha","Avec engrais","Sans engrais",1007,1262,834011.5,1.47e-37,"****"
"Mil","rendement_kgha","Avec engrais","Sans engrais",458,470,114192,0.108,"ns"
