"culture_label","N","Min","Q1","Médiane","Moyenne","Q3","Max","EcartType"
"Maïs",2269,5.21,327.68,786.89,1222.18,1626.41,6179.55,1256.91
"Mil",928,10.99,244.78,471.15,693.39,889.25,3227.63,653.5
