"culture_label","engrais_label","N","Médiane","Moyenne"
"Maïs","Avec engrais",1007,1115.04474117024,1545.86812229597
"Maïs","Sans engrais",1262,582.161101440133,963.892754556627
"Mil","Avec engrais",458,494.580910392033,717.599902130152
"Mil","Sans engrais",470,444.984207596318,669.789436704066
