"zone","scolarise","n","total_zone","prop","ic_low","ic_high","prop_label"
"Rural","Non",635,5515,0.115140525838622,0.106830950664986,0.123859682315965,"11.5%"
"Rural","Oui",4880,5515,0.884859474161378,0.876140317684035,0.893169049335014,"88.5%"
"Urbain","Non",179,2315,0.0773218142548596,0.0667655353934463,0.0889618349941369,"7.7%"
"Urbain","Oui",2136,2315,0.92267818574514,0.911038165005863,0.933234464606554,"92.3%"
