"sexe","n","n_malade","prop","ic_bas","ic_haut"
"Féminin",13368,11749,0.878889886295631,0.87323927136861,0.884374984968058
"Masculin",13189,11552,0.875881416331792,0.870133376809009,0.881463031134395
