"parente","n","prop","ic_bas","ic_haut"
"Autre",6168,0.203322784810127,0.198805864219597,0.207896586538884
"Chef de ménage",4979,0.164128428270042,0.159976224092895,0.16834505491074
"Conjoint(e)",4273,0.140855748945148,0.136959173228563,0.144821234160193
"Enfant",14916,0.491693037974684,0.486051846108088,0.497335821026127
