"parente","n_pondere","n_brut","prop","ic_bas","ic_haut"
"Autre",30068834.1568604,6165,0.180689127875231,0.198872153429841,0.207967777578603
"Chef de ménage",26954601.8643188,4975,0.161975136038876,0.159977888719396,0.168350253013608
"Conjoint(e)",24025955.0536499,4269,0.144376361330358,0.136941969368564,0.144806918351407
"Enfant",85362581.3025208,14902,0.512959374755535,0.485993191472907,0.497281810923296
