"hhid","cropcode","crop_name","superficie_ha","prod_kg","rendement_kg_ha","state"
20005,1080,"Maïs",0.03,300,10000,2
20006,1080,"Maïs",0.09,900,10000,2
20007,1080,"Maïs",0.08,800,10000,2
20008,1080,"Maïs",0.03,300,10000,2
20009,1080,"Maïs",0.02,200,10000,34
20010,1080,"Maïs",0.03,300,10000,2
20041,1080,"Maïs",0.0072,72,10000,2
20042,1080,"Maïs",0.0144,144,10000,2
20043,1080,"Maïs",0.18,1800,10000,2
20044,1080,"Maïs",0.0216,216,10000,2
20045,1080,"Maïs",0.2,2000,10000,2
20046,1080,"Maïs",0.015,150,10000,2
20047,1080,"Maïs",0.36,3600,10000,2
20048,1080,"Maïs",0.1,1000,10000,2
20049,1080,"Maïs",0.05,500,10000,2
20061,1080,"Maïs",0.16,1600,10000,2
20062,1080,"Maïs",0.1,1000,10000,2
20063,1080,"Maïs",0.16,1600,10000,2
20065,1080,"Maïs",0.05,500,10000,2
20066,1080,"Maïs",0.05,500,10000,2
20068,1080,"Maïs",0.02,200,10000,2
20069,1080,"Maïs",0.16,1600,10000,2
20070,1080,"Maïs",0.02,200,10000,2
20091,1080,"Maïs",0.22,2200,10000,2
20092,1080,"Maïs",0.0252,252,10000,2
20093,1080,"Maïs",0.05,500,10000,2
20096,1080,"Maïs",0.12,1200,10000,2
20097,1080,"Maïs",0.03,300,10000,2
20099,1080,"Maïs",0.02,200,10000,2
20100,1080,"Maïs",0.01,100,10000,2
20106,1080,"Maïs",0.2,2000,10000,2
20107,1080,"Maïs",0.05,500,10000,2
20108,1080,"Maïs",0.08,800,10000,2
20110,1080,"Maïs",0.06,600,10000,2
29001,1080,"Maïs",0.08,800,10000,2
29002,1080,"Maïs",0.64,6400,10000,2
29003,1080,"Maïs",0.036,360,10000,2
29004,1080,"Maïs",0.05,500,10000,2
29005,1080,"Maïs",0.03,300,10000,2
29006,1080,"Maïs",0.24,2400,10000,2
29007,1080,"Maïs",0.04,400,10000,2
29010,1080,"Maïs",0.08,800,10000,2
29013,1080,"Maïs",0.03,300,10000,2
29018,1080,"Maïs",0.03,300,10000,2
29019,1080,"Maïs",0.08,800,10000,2
29020,1080,"Maïs",0.36,3600,10000,2
29022,1080,"Maïs",0.17,1700,10000,2
29023,1080,"Maïs",0.72,7200,10000,2
29025,1080,"Maïs",0.11,1100,10000,2
29026,1080,"Maïs",0.17,1700,10000,2
29031,1080,"Maïs",0.08,800,10000,2
29032,1080,"Maïs",0.51,5100,10000,2
29033,1080,"Maïs",0.05,500,10000,2
29034,1080,"Maïs",0.2772,2772,10000,2
29035,1080,"Maïs",0.1,1000,10000,2
29037,1080,"Maïs",0.1,1000,10000,2
29038,1080,"Maïs",0.08,800,10000,2
29039,1080,"Maïs",0.1,1000,10000,2
29045,1080,"Maïs",0.05,500,10000,2
29046,1080,"Maïs",0.02,200,10000,2
29047,1080,"Maïs",0.2,2000,10000,2
29048,1080,"Maïs",0.11,1100,10000,2
29050,1080,"Maïs",0.3,3000,10000,2
29051,1080,"Maïs",0.1,1000,10000,2
29052,1080,"Maïs",0.1,1000,10000,2
29055,1080,"Maïs",0.24,2400,10000,2
29057,1080,"Maïs",0.06,600,10000,2
29058,1080,"Maïs",0.55,5500,10000,2
29060,1080,"Maïs",0.04,400,10000,2
29061,1080,"Maïs",0.02,200,10000,2
29062,1080,"Maïs",0.03,300,10000,2
29063,1080,"Maïs",0.04,400,10000,2
29064,1080,"Maïs",0.1,1000,10000,2
29065,1080,"Maïs",0.05,500,10000,2
29066,1080,"Maïs",0.12,1200,10000,2
29070,1080,"Maïs",0.18,1800,10000,2
29071,1080,"Maïs",0.02,200,10000,2
29072,1080,"Maïs",0.02,200,10000,2
29073,1080,"Maïs",0.41,4100,10000,2
29074,1080,"Maïs",0.27,2700,10000,2
