consulte,quintile_conso,effectif_pondere
Non,Q1,39749115.008117676
Oui,Q1,5489701.179321289
Non,Q2,28717777.732208252
Oui,Q2,5503333.004852295
Non,Q3,24087015.064819336
Oui,Q3,5677074.302947998
Non,Q4,18738043.467834473
Oui,Q4,5364447.863952637
Non,Q5,11751148.182861328
Oui,Q5,3939282.3033447266
