consulte,quintile_conso,proportion
Non,Q1,0.8786506446902658
Oui,Q1,0.12134935530973427
Non,Q2,0.8391830982010665
Oui,Q2,0.16081690179893351
Non,Q3,0.8092643039468925
Oui,Q3,0.19073569605310747
Non,Q4,0.7774318102594715
Oui,Q4,0.2225681897405285
Non,Q5,0.7489372705989251
Oui,Q5,0.2510627294010749
