"hhid","zone","state","lga","sector","ea","cropcode","crop_name","crop_type","wt_wave4","area_type"
19060,4,1,104,2,1020,2190,"pumpkin","autres",5403.970703125,"rural"
19061,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19061,4,1,107,2,10,2080,"garden egg","autres",4115.0234375,"rural"
19061,4,1,107,2,10,2120,"okro","autres",4115.0234375,"rural"
19061,4,1,107,2,10,2190,"pumpkin","autres",4115.0234375,"rural"
19062,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19063,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19063,4,1,107,2,10,2120,"okro","autres",4115.0234375,"rural"
19064,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19064,4,1,107,2,10,2190,"pumpkin","autres",4115.0234375,"rural"
19066,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19068,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19068,4,1,107,2,10,2060,"cucumber","autres",4115.0234375,"rural"
19069,4,1,107,2,10,1020,"cassava","tubercule",4115.0234375,"rural"
19069,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19069,4,1,107,2,10,2190,"pumpkin","autres",4115.0234375,"rural"
19070,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19070,4,1,107,2,10,2190,"pumpkin","autres",4115.0234375,"rural"
19070,4,1,107,2,10,3030,"pepper, chilli (shombo)","autres",4115.0234375,"rural"
19071,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19071,4,1,107,2,10,2142,"pepper, small (rodo)","autres",4115.0234375,"rural"
19071,4,1,107,2,10,2190,"pumpkin","autres",4115.0234375,"rural"
19072,4,1,107,2,10,1080,"maize","céréale",4115.0234375,"rural"
19072,4,1,107,2,10,1090,"melon/egusi","autres",4115.0234375,"rural"
19072,4,1,107,2,10,1121,"yam, white","tubercule",4115.0234375,"rural"
19072,4,1,107,2,10,2142,"pepper, small (rodo)","autres",4115.0234375,"rural"
19073,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19073,4,1,107,2,1322,2060,"cucumber","autres",5029.37158203125,"rural"
19073,4,1,107,2,1322,3030,"pepper, chilli (shombo)","autres",5029.37158203125,"rural"
19075,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19075,4,1,107,2,1322,1121,"yam, white","tubercule",5029.37158203125,"rural"
19075,4,1,107,2,1322,2190,"pumpkin","autres",5029.37158203125,"rural"
19076,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19076,4,1,107,2,1322,1121,"yam, white","tubercule",5029.37158203125,"rural"
19076,4,1,107,2,1322,1124,"yam, three leaved","tubercule",5029.37158203125,"rural"
19077,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19077,4,1,107,2,1322,1121,"yam, white","tubercule",5029.37158203125,"rural"
19077,4,1,107,2,1322,2194,"green vegetable (spinach, ugu, etc.)","autres",5029.37158203125,"rural"
19080,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19080,4,1,107,2,1322,1121,"yam, white","tubercule",5029.37158203125,"rural"
19080,4,1,107,2,1322,2190,"pumpkin","autres",5029.37158203125,"rural"
19081,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19081,4,1,107,2,1322,1121,"yam, white","tubercule",5029.37158203125,"rural"
19082,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19082,4,1,107,2,1322,2060,"cucumber","autres",5029.37158203125,"rural"
19084,4,1,107,2,1322,1080,"maize","céréale",5029.37158203125,"rural"
19085,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
19085,4,1,109,2,1214,1090,"melon/egusi","autres",3652.97290039062,"rural"
19085,4,1,109,2,1214,2190,"pumpkin","autres",3652.97290039062,"rural"
19087,4,1,109,2,1214,1121,"yam, white","tubercule",3652.97290039062,"rural"
19087,4,1,109,2,1214,1122,"yam, yellow","tubercule",3652.97290039062,"rural"
19087,4,1,109,2,1214,2120,"okro","autres",3652.97290039062,"rural"
19087,4,1,109,2,1214,2190,"pumpkin","autres",3652.97290039062,"rural"
19088,4,1,109,2,1214,1080,"maize","céréale",3652.97290039062,"rural"
