"hhid","zone","state","lga","sector","ea","plotid","cropcode","crop_name","crop_type","wt_wave4","area_type"
10093,5,3,322,2,0,4,1020,"cassava","tubercule",1866.33715820312,"rural"
10093,5,3,322,2,0,4,1080,"maize","céréale",1866.33715820312,"rural"
10093,5,3,322,2,0,6,1080,"maize","céréale",1866.33715820312,"rural"
10094,4,1,105,2,638,1,1080,"maize","céréale",1866.33715820312,"rural"
10094,4,1,105,2,638,2,1080,"maize","céréale",1866.33715820312,"rural"
10096,4,1,105,2,638,1,1080,"maize","céréale",1866.33715820312,"rural"
10096,4,1,105,2,638,2,1080,"maize","céréale",1866.33715820312,"rural"
10097,4,1,105,2,638,1,1080,"maize","céréale",1866.33715820312,"rural"
10097,4,1,105,2,638,1,1090,"melon/egusi","autres",1866.33715820312,"rural"
10097,4,1,105,2,638,2,1121,"yam, white","tubercule",1866.33715820312,"rural"
10097,4,1,105,2,638,2,1124,"yam, three leaved","tubercule",1866.33715820312,"rural"
10097,4,1,105,2,638,3,1080,"maize","céréale",1866.33715820312,"rural"
10099,4,1,105,2,638,1,1080,"maize","céréale",1866.33715820312,"rural"
10100,4,1,105,2,638,1,1080,"maize","céréale",1866.33715820312,"rural"
10100,4,1,105,2,638,2,1080,"maize","céréale",1866.33715820312,"rural"
10100,4,1,105,2,638,3,1090,"melon/egusi","autres",1866.33715820312,"rural"
10102,4,1,108,2,904,1,1080,"maize","céréale",5453.29833984375,"rural"
10102,4,1,108,2,904,2,1124,"yam, three leaved","tubercule",5453.29833984375,"rural"
10103,4,1,108,2,904,1,1080,"maize","céréale",5453.29833984375,"rural"
10103,4,1,108,2,904,1,2120,"okro","autres",5453.29833984375,"rural"
10103,4,1,108,2,904,2,1121,"yam, white","tubercule",5453.29833984375,"rural"
10104,4,1,108,2,904,1,1080,"maize","céréale",5453.29833984375,"rural"
10105,4,1,108,2,904,1,1080,"maize","céréale",5453.29833984375,"rural"
10105,4,1,108,2,904,2,1080,"maize","céréale",5453.29833984375,"rural"
10105,4,1,108,2,904,2,1121,"yam, white","tubercule",5453.29833984375,"rural"
10106,4,1,108,2,904,1,1080,"maize","céréale",5453.29833984375,"rural"
10106,4,1,108,2,904,1,1090,"melon/egusi","autres",5453.29833984375,"rural"
10106,4,1,108,2,904,2,1080,"maize","céréale",5453.29833984375,"rural"
10106,4,1,108,2,904,3,1080,"maize","céréale",5453.29833984375,"rural"
10106,4,1,108,2,904,3,1121,"yam, white","tubercule",5453.29833984375,"rural"
10107,4,1,108,2,904,2,1080,"maize","céréale",5453.29833984375,"rural"
10108,4,1,108,2,904,1,1080,"maize","céréale",5453.29833984375,"rural"
10109,4,1,108,2,904,1,1080,"maize","céréale",5453.29833984375,"rural"
10109,4,1,108,2,904,2,1080,"maize","céréale",5453.29833984375,"rural"
10109,4,1,108,2,904,2,1121,"yam, white","tubercule",5453.29833984375,"rural"
10110,4,1,108,2,904,2,1010,"beans/cowpea","légumineuse",5453.29833984375,"rural"
19008,4,1,102,1,46,1,1080,"maize","céréale",3688.921875,"urban"
19008,4,1,102,1,46,2,1080,"maize","céréale",3688.921875,"urban"
19008,4,1,102,1,46,2,2190,"pumpkin","autres",3688.921875,"urban"
19038,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19038,4,1,104,2,412,1,1090,"melon/egusi","autres",1890.3896484375,"rural"
19038,4,1,104,2,412,1,1123,"water yam","tubercule",1890.3896484375,"rural"
19038,4,1,104,2,412,1,2120,"okro","autres",1890.3896484375,"rural"
19039,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19039,4,1,104,2,412,1,2120,"okro","autres",1890.3896484375,"rural"
19039,4,1,104,2,412,2,1080,"maize","céréale",1890.3896484375,"rural"
19041,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19041,4,1,104,2,412,2,1080,"maize","céréale",1890.3896484375,"rural"
19043,4,1,104,2,412,1,1020,"cassava","tubercule",1890.3896484375,"rural"
19043,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19043,4,1,104,2,412,1,1090,"melon/egusi","autres",1890.3896484375,"rural"
19043,4,1,104,2,412,2,1080,"maize","céréale",1890.3896484375,"rural"
19044,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19044,4,1,104,2,412,2,1080,"maize","céréale",1890.3896484375,"rural"
19044,4,1,104,2,412,2,1090,"melon/egusi","autres",1890.3896484375,"rural"
19045,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19045,4,1,104,2,412,1,1121,"yam, white","tubercule",1890.3896484375,"rural"
19045,4,1,104,2,412,2,1080,"maize","céréale",1890.3896484375,"rural"
19045,4,1,104,2,412,2,1090,"melon/egusi","autres",1890.3896484375,"rural"
19045,4,1,104,2,412,2,2194,"green vegetable (spinach, ugu, etc.)","autres",1890.3896484375,"rural"
19047,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19047,4,1,104,2,412,2,1080,"maize","céréale",1890.3896484375,"rural"
19048,4,1,104,2,412,1,1010,"beans/cowpea","légumineuse",1890.3896484375,"rural"
19048,4,1,104,2,412,1,1080,"maize","céréale",1890.3896484375,"rural"
19048,4,1,104,2,412,1,2060,"cucumber","autres",1890.3896484375,"rural"
19048,4,1,104,2,412,1,2194,"green vegetable (spinach, ugu, etc.)","autres",1890.3896484375,"rural"
19048,4,1,104,2,412,2,1080,"maize","céréale",1890.3896484375,"rural"
19048,4,1,104,2,412,3,2060,"cucumber","autres",1890.3896484375,"rural"
19049,4,1,104,2,1020,1,1080,"maize","céréale",5403.970703125,"rural"
19049,4,1,104,2,1020,2,1080,"maize","céréale",5403.970703125,"rural"
19051,4,1,104,2,1020,3,1040,"cocoyam","tubercule",5403.970703125,"rural"
19051,4,1,104,2,1020,3,1121,"yam, white","tubercule",5403.970703125,"rural"
19052,4,1,104,2,1020,1,1080,"maize","céréale",5403.970703125,"rural"
19052,4,1,104,2,1020,1,1121,"yam, white","tubercule",5403.970703125,"rural"
19052,4,1,104,2,1020,1,2120,"okro","autres",5403.970703125,"rural"
19052,4,1,104,2,1020,2,1080,"maize","céréale",5403.970703125,"rural"
19054,4,1,104,2,1020,3,1080,"maize","céréale",5403.970703125,"rural"
19055,4,1,104,2,1020,1,1080,"maize","céréale",5403.970703125,"rural"
19055,4,1,104,2,1020,2,1080,"maize","céréale",5403.970703125,"rural"
19056,4,1,104,2,1020,1,1010,"beans/cowpea","légumineuse",5403.970703125,"rural"
19056,4,1,104,2,1020,1,1080,"maize","céréale",5403.970703125,"rural"
19056,4,1,104,2,1020,1,2190,"pumpkin","autres",5403.970703125,"rural"
19058,4,1,104,2,1020,1,1080,"maize","céréale",5403.970703125,"rural"
19058,4,1,104,2,1020,2,1040,"cocoyam","tubercule",5403.970703125,"rural"
19060,4,1,104,2,1020,1,1010,"beans/cowpea","légumineuse",5403.970703125,"rural"
19060,4,1,104,2,1020,2,1080,"maize","céréale",5403.970703125,"rural"
19060,4,1,104,2,1020,2,2060,"cucumber","autres",5403.970703125,"rural"
19060,4,1,104,2,1020,2,2190,"pumpkin","autres",5403.970703125,"rural"
19061,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19061,4,1,107,2,10,1,2080,"garden egg","autres",4115.0234375,"rural"
19061,4,1,107,2,10,1,2120,"okro","autres",4115.0234375,"rural"
19061,4,1,107,2,10,1,2190,"pumpkin","autres",4115.0234375,"rural"
19062,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19062,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19063,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
19063,4,1,107,2,10,1,2120,"okro","autres",4115.0234375,"rural"
19063,4,1,107,2,10,2,1080,"maize","céréale",4115.0234375,"rural"
19064,4,1,107,2,10,1,1080,"maize","céréale",4115.0234375,"rural"
